rank,totalRankScore,totalPriceRankScore,nightlyRateScore,reviewRankScore,rareFindScore,acScore,wifiScore,guestFavoriteScore,superhostScore,id,title,dates,totalPrice,totalPriceRank,nightlyRateRank,reviewScore,reviewScoreString,reviewScoreRank,url,nightlyRateDisplay,nights,nightlyTotalDisplay,nightlyTotalDisplayPercent,cleaningFee,airbnbFee,feeTotal,feePercent,beds,guest_favorite,Kitchen,Wifi,Dedicated workspace,Free parking on premises,TV,Luggage dropoff allowed,Long term stays allowed,Exterior security cameras on property,Carbon monoxide alarm,Smoke alarm,Guest favorite,Pool,Shared sauna,Elevator,Washer,Hot tub,Pets allowed,Superhost,Sauna,Mountain view,Resort view,Free street parking,HDTV,Free washer – In unit,Free parking garage on premises – 1 space,Private patio or balcony,City skyline view,Private outdoor pool - available all year, open specific hours, infinity,Shared hot tub,Garden view,Free residential garage on premises – 1 space,Shared pool,32 inch HDTV with Netflix,Refrigerator,Shared indoor pool - open specific hours, heated, pool toys, rooftop,Wifi – 7 Mbps,Free carport on premises – 1 space,Shared outdoor pool - available all year,HDTV with Netflix, Roku,Fast wifi – 95 Mbps,55 inch HDTV,Free residential garage on premises,Shared outdoor pool,43 inch HDTV with Netflix, standard cable,TV with standard cable,__typename,listing,avgRatingA11yLabel,avgRatingLocalized,listingParamOverrides,pricingQuote,badges,contextualPictures,priceRankScore,priceRank,Private sauna,Private indoor pool - available all year,55 inch TV with Netflix,Park view,AC - split type ductless system,Air conditioning,Fast wifi – 268 Mbps,42 inch HDTV,Patio or balcony,Shared backyard – Not fully fenced,Pack ’n play/Travel crib - available upon request,Folding or convertible high chair - available upon request,Microwave,Shared indoor pool - available all year, lap pool,Shared hot tub - available all year,Courtyard view,55 inch HDTV with Netflix,Shared hot tub - available seasonally,Breakfast,32 inch HDTV,Samsung 380L refrigerator,Paid parking lot off premises,Shared outdoor pool - available seasonally,165 inch HDTV with Netflix, premium cable,Dryer,Shared outdoor pool - open specific hours,Fast wifi – 186 Mbps,Hair dryer,Paid parking garage off premises,40 inch HDTV,Backyard,HDTV with premium cable,Free dryer – In unit,Central air conditioning,Washer – In unit,50 inch HDTV with Netflix,Valley view,Wifi – 16 Mbps,60 inch HDTV with Netflix, HBO Max, Disney+,Bay view,Beach view,32 inch HDTV with premium cable, Netflix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,425,175,0,250,0,0,0,0,0,920943384520791693,Condo in Ibagué,01/18/25 - 01/21/25,125,20,14,4.94,4.94 (33),5,https://www.airbnb.com/rooms/920943384520791693?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,31,3,93,0.744,14,18,32,0.256,1 double bed,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,410,140,0,270,0,0,0,0,0,1252419475714530650,Apartment in Ibagué,01/18/25 - 01/21/25,144,27,23,5,5.0 (15),1,https://www.airbnb.com/rooms/1252419475714530650?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,41,3,124,0.8611111111111110,0,20,20,0.1388888888888890,2 beds,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,405,135,0,270,0,0,0,0,0,846235779633750241,Apartment in Ibagué,01/18/25 - 01/21/25,146,28,20,5,5.0 (20),1,https://www.airbnb.com/rooms/846235779633750241?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,38,3,114,0.7808219178082190,11,21,32,0.2191780821917810,3 beds,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,405,170,0,235,0,0,0,0,0,39729006,Apartment in Ibagué,01/18/25 - 01/21/25,126,21,14,4.91,4.91 (57),8,https://www.airbnb.com/rooms/39729006?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,31,3,93,0.7380952380952380,15,18,33,0.2619047619047620,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,TRUE,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,400,130,0,270,0,0,0,0,0,1175649937226027532,Apartment in Ibagué,01/18/25 - 01/21/25,154,29,21,5,5.0 (5),1,https://www.airbnb.com/rooms/1175649937226027532?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,39,3,117,0.7597402597402600,15,22,37,0.24025974025974000,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,395,220,0,175,0,0,0,0,0,822005685861245995,Apartment in Ibagué,01/18/25 - 01/21/25,92,11,8,4.5,4.5 (42),20,https://www.airbnb.com/rooms/822005685861245995?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,23,3,69,0.75,10,13,23,0.25,3 beds,,TRUE,TRUE,,,,TRUE,,,FALSE,FALSE,,,,TRUE,,,TRUE,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,385,180,0,205,0,0,0,0,0,576895337660091643,Apartment in Ibagué,01/18/25 - 01/21/25,122,19,15,4.81,4.81 (75),14,https://www.airbnb.com/rooms/576895337660091643?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,32,3,96,0.7868852459016390,9,17,26,0.21311475409836100,2 beds,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,FALSE,TRUE,,TRUE,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,380,110,0,270,0,0,0,0,0,1171861583887805045,Apartment in Ibagué,01/18/25 - 01/21/25,162,33,24,5,5.0 (14),1,https://www.airbnb.com/rooms/1171861583887805045?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,42,3,142,0.8765432098765430,11,23,34,0.20987654320987700,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,,TRUE,TRUE,TRUE,,,TRUE,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,370,105,0,265,0,0,0,0,0,971076032535829977,Condo in Ibagué,01/18/25 - 01/21/25,163,34,23,4.97,4.97 (35),2,https://www.airbnb.com/rooms/971076032535829977?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,41,3,124,0.7607361963190190,16,23,39,0.2392638036809820,,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,FALSE,,TRUE,,,TRUE,,,TRUE,,,TRUE,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,370,115,0,255,0,0,0,0,0,52306754,Condo in Ibagué,01/18/25 - 01/21/25,157,32,23,4.95,4.95 (56),4,https://www.airbnb.com/rooms/52306754?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,41,3,124,0.7898089171974520,11,22,33,0.21019108280254800,2 double beds,TRUE,TRUE,TRUE,TRUE,,,,,,,,TRUE,,,,,,TRUE,,,TRUE,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,365,135,0,230,0,0,0,0,0,34578240,Condo in Ibagué,01/18/25 - 01/21/25,146,28,20,4.89,4.89 (65),9,https://www.airbnb.com/rooms/34578240?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,38,3,114,0.7808219178082190,11,21,32,0.2191780821917810,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,TRUE,FALSE,FALSE,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,360,145,0,215,0,0,0,0,0,52350619,Apartment in Ibagué,01/18/25 - 01/21/25,142,26,19,4.84,4.84 (168),12,https://www.airbnb.com/rooms/52350619?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,37,3,112,0.7887323943661970,10,20,30,0.2112676056338030,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,360,150,0,210,0,0,0,0,0,820256721613447361,Apartment in Ibagué,01/18/25 - 01/21/25,139,25,19,4.83,4.83 (120),13,https://www.airbnb.com/rooms/820256721613447361?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,37,3,110,0.7913669064748200,9,20,29,0.20863309352518000,,TRUE,TRUE,TRUE,,TRUE,,,,,FALSE,FALSE,TRUE,,TRUE,,,TRUE,,,,TRUE,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,355,95,0,260,0,0,0,0,0,817709413772889492,Condo in Ibagué,01/18/25 - 01/21/25,183,36,26,4.96,4.96 (27),3,https://www.airbnb.com/rooms/817709413772889492?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,48,3,143,0.7814207650273220,14,26,40,0.2185792349726780,3 beds,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,FALSE,TRUE,,TRUE,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,355,115,0,240,0,0,0,0,0,1095154386798297454,Apartment in Ibagué,01/18/25 - 01/21/25,157,32,23,4.92,4.92 (12),7,https://www.airbnb.com/rooms/1095154386798297454?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,41,3,124,0.7898089171974520,11,22,33,0.21019108280254800,1 bed,TRUE,TRUE,,TRUE,TRUE,,,,,FALSE,,TRUE,,TRUE,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,345,75,0,270,0,0,0,0,0,1260136135190722713,Condo in Ibagué,01/18/25 - 01/21/25,233,40,28,5,5.0 (7),1,https://www.airbnb.com/rooms/1260136135190722713?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,62,3,186,0.7982832618025750,14,33,47,0.2017167381974250,1 sofa bed,TRUE,TRUE,TRUE,,,,,,,FALSE,FALSE,TRUE,TRUE,,TRUE,,,TRUE,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,345,120,0,225,0,0,0,0,0,1222037960630506206,Apartment in Ibagué,01/18/25 - 01/21/25,156,31,24,4.88,4.88 (8),10,https://www.airbnb.com/rooms/1222037960630506206?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,42,3,125,0.8012820512820510,9,22,31,0.1987179487179490,,TRUE,TRUE,TRUE,,TRUE,TRUE,,,TRUE,FALSE,FALSE,TRUE,TRUE,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,345,155,0,190,0,0,0,0,0,591328613559121482,Condo in Ibagué,01/18/25 - 01/21/25,134,24,16,4.77,4.77 (64),17,https://www.airbnb.com/rooms/591328613559121482?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,33,3,99,0.7388059701492540,16,19,35,0.26119402985074600,,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,TRUE,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,TRUE,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,335,165,0,170,0,0,0,0,0,1323089586858206641,Apartment in Ibagué,01/18/25 - 01/21/25,128,22,17,,New,21,https://www.airbnb.com/rooms/1323089586858206641?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,34,3,103,0.8046875,7,18,25,0.1953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,315,70,0,245,0,0,0,0,0,1038986637548511215,Apartment in Ibagué,01/18/25 - 01/21/25,249,41,31,4.93,4.93 (15),6,https://www.airbnb.com/rooms/1038986637548511215?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,71,3,214,0.8594377510040160,0,35,35,0.14056224899598400,3 beds,TRUE,TRUE,TRUE,,TRUE,TRUE,,,,FALSE,FALSE,TRUE,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,315,85,0,230,0,0,0,0,0,1116887112087454138,Apartment in Ibagué,01/18/25 - 01/21/25,189,38,29,4.89,4.89 (19),9,https://www.airbnb.com/rooms/1116887112087454138?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,63,3,262,1.3862433862433900,0,0,0,0,2 beds,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,315,115,0,200,0,0,0,0,0,1090505518563398267,Condo in Ibagué,01/18/25 - 01/21/25,157,32,22,4.79,4.79 (39),15,https://www.airbnb.com/rooms/1090505518563398267?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,40,3,121,0.7707006369426750,14,22,36,0.22929936305732500,2 beds,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,FALSE,TRUE,,,TRUE,,,TRUE,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,305,60,0,245,0,0,0,0,0,1116978391813706147,Apartment in Ibagué,01/18/25 - 01/21/25,296,43,32,4.93,4.93 (28),6,https://www.airbnb.com/rooms/1116978391813706147?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,79,3,238,0.8040540540540540,16,42,58,0.19594594594594600,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,300,80,0,220,0,0,0,0,0,908957215085619958,Apartment in Ibagué,01/18/25 - 01/21/25,191,39,27,4.87,4.87 (54),11,https://www.airbnb.com/rooms/908957215085619958?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,51,3,153,0.8010471204188480,11,27,38,0.19895287958115200,2 beds,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,295,125,0,170,0,0,0,0,0,1305381002769865823,Apartment in Ibagué,01/18/25 - 01/21/25,155,30,23,,New,21,https://www.airbnb.com/rooms/1305381002769865823?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,41,3,124,0.8,9,22,31,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,290,55,0,235,0,0,0,0,0,1201778429056039901,Apartment in Ibagué,01/18/25 - 01/21/25,312,44,33,4.91,4.91 (11),8,https://www.airbnb.com/rooms/1201778429056039901?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,84,3,252,0.8076923076923080,16,44,60,0.19230769230769200,4 beds,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,285,90,0,195,0,0,0,0,0,50091851,Condo in Ibagué,01/18/25 - 01/21/25,186,37,26,4.78,4.78 (64),16,https://www.airbnb.com/rooms/50091851?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,48,3,144,0.7741935483870970,16,26,42,0.22580645161290300,4 beds,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,280,100,0,180,0,0,0,0,0,1194348198443281843,Apartment in Ibagué,01/18/25 - 01/21/25,171,35,25,4.67,4.67 (6),19,https://www.airbnb.com/rooms/1194348198443281843?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,45,3,136,0.7953216374269010,11,24,35,0.2046783625730990,1 bed,,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,,,,TRUE,,TRUE,TRUE,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
