rank,totalRankScore,totalPriceRankScore,nightlyRateScore,reviewRankScore,rareFindScore,acScore,wifiScore,guestFavoriteScore,superhostScore,id,title,dates,totalPrice,totalPriceRank,nightlyRateRank,reviewScore,reviewScoreString,reviewScoreRank,url,nightlyRateDisplay,nights,nightlyTotalDisplay,nightlyTotalDisplayPercent,cleaningFee,airbnbFee,feeTotal,feePercent,beds,Kitchen,Wifi,Dedicated workspace,Pets allowed,TV,Portable air conditioning,Luggage dropoff allowed,Microwave,Exterior security cameras on property,Carbon monoxide alarm,Superhost,guest_favorite,Free street parking,Elevator,Long term stays allowed,Smoke alarm,Guest favorite,Courtyard view,Patio or balcony,Backyard,Washer,Air conditioning,Haceb refrigerator,Fast wifi – 94 Mbps,Hair dryer,Free parking on premises,Crib,Refrigerator,Private patio or balcony,City skyline view,Fast wifi – 599 Mbps,Smoking allowed,Hot tub,Paid washer – In building,Paid dryer – In building,Dryer,Mountain view,Free washer – In unit,TV with standard cable,LG refrigerator,32 inch HDTV with Netflix,AC - split type ductless system,Fast wifi – 120 Mbps,Fast wifi – 93 Mbps,Free parking garage on premises,Private hot tub - available all year,Sauna,Fast wifi – 354 Mbps,65 inch HDTV with Netflix,Fast wifi – 396 Mbps,Free parking garage on premises – 1 space,Shared sauna,Garden view,Fast wifi – 446 Mbps,Private hot tub - available all year,open 24 hours,Free carport on premises,56 inch HDTV with standard cable,Central air conditioning,Shared patio or balcony,Fast wifi – 240 Mbps,Shared indoor pool - available seasonally,open specific hours,Wifi – 28 Mbps,32 inch HDTV,High chair,Fast wifi – 164 Mbps,Shared outdoor pool - available all year,open specific hours,rooftop,43 inch HDTV with Netflix,premium cable,HDTV,40 inch HDTV,Fast wifi – 200 Mbps,HDTV with standard cable,Free dryer – In unit,Shared hot tub,Park view,Fast wifi – 510 Mbps,Free washer – In building,55 inch HDTV,Fast wifi – 463 Mbps,43 inch HDTV with HBO Max,Netflix,standard cable,Private backyard – Fully fenced,Free driveway parking on premises – 3 spaces,HDTV with Netflix,Pool,Fast wifi – 185 Mbps,55 inch HDTV with Netflix,43 inch HDTV,43 inch HDTV with Netflix,standard cable,Valley view,Fast wifi – 303 Mbps,Fast wifi – 60 Mbps,32 inch TV,Shared backyard – Not fully fenced,Fast wifi – 231 Mbps,Free dryer – In building,42 inch HDTV with Netflix,50 inch HDTV with Netflix,standard cable,43 inch HDTV with Amazon Prime Video,Netflix,standard cable,Private hot tub,Free dryer,Fast wifi – 140 Mbps,TV with Netflix,standard cable,Wifi – 35 Mbps,58 inch HDTV with Netflix,standard cable,Window AC unit,45 inch HDTV with Netflix,Amazon Prime Video,Chromecast,55 inch TV with Netflix,standard cable,Wifi – 31 Mbps,32 inch HDTV with premium cable,Fast wifi – 466 Mbps,Free residential garage on premises,Private backyard,Fast wifi – 105 Mbps,43 inch HDTV with Netflix,43 inch HDTV with Amazon Prime Video,Disney+,Netflix,Fast wifi – 187 Mbps,35 inch HDTV with premium cable,47 inch TV with standard cable,Shared outdoor pool - open specific hours,rooftop,32 inch HDTV with Fire TV,standard cable,Bathtub,25 inch TV,TV with Netflix,Fast wifi – 59 Mbps,HDTV with Amazon Prime Video,Disney+,Netflix,Free driveway parking on premises,HDTV with Chromecast,40 inch HDTV with Amazon Prime Video,Chromecast,Netflix,43 inch HDTV with standard cable,Pack ’n play/Travel crib,60 inch HDTV with Netflix,Fast wifi – 379 Mbps,Free driveway parking on premises – 1 space,Fast wifi – 160 Mbps,Washer – In building,Fast wifi – 149 Mbps,50 inch HDTV with standard cable,Free driveway parking on premises – 2 spaces,Fast wifi – 52 Mbps,40 inch HDTV with Fire TV,Roku,Fast wifi – 206 Mbps,Paid parking on premises,52 inch HDTV with Disney+,Netflix,Roku,43 inch HDTV with Netflix,premium cable,standard cable,Fast wifi – 131 Mbps,40 inch TV with standard cable,Netflix,DVD player,Paid washer,Paid dryer,Mabe refrigerator,Fast wifi – 263 Mbps,32 inch HDTV with standard cable,Fast wifi – 217 Mbps,50 inch TV,60 inch HDTV with standard cable,Standalone high chair - always at the listing,43 inch TV,Fast wifi – 218 Mbps,42 inch HDTV with standard cable,Pool - open 24 hours,rooftop,Fast wifi – 205 Mbps,Challenger refrigerator,Paid parking lot on premises – 1 space,Shared outdoor pool - available all year,open specific hours,Shared hot tub - available all year,open specific hours,Fast wifi – 475 Mbps,50 inch HDTV,Dryer – In unit,Free residential garage on premises – 1 space,43 inch TV with Netflix,49 inch TV with Netflix,Paid parking lot off premises,Sound system
24,2525,1210,0,1315,0,0,0,0,0,1037070843931176238,Apartment in Laureles,01/18/25 - 01/21/25,100,29,8,4.93,4.93 (15),8,https://www.airbnb.com/rooms/1037070843931176238?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,23,3,68,0.68,18,14,32,0.32,2 beds,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,,TRUE,TRUE,,,FALSE,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2520,1185,0,1335,0,0,0,0,0,946501758606863841,Loft in Medellín,01/18/25 - 01/21/25,106,34,11,4.97,4.97 (39),4,https://www.airbnb.com/rooms/946501758606863841?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,26,3,79,0.7452830189,12,15,27,0.2547169811,,TRUE,TRUE,TRUE,,TRUE,,,,,FALSE,,TRUE,,,,FALSE,TRUE,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2520,1190,0,1330,0,0,0,0,0,1112551389838188429,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,105,33,15,4.96,4.96 (26),5,https://www.airbnb.com/rooms/1112551389838188429?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,30,3,90,0.8571428571,0,15,15,0.1428571429,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,FALSE,,TRUE,,,,,TRUE,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2520,1230,0,1290,0,0,0,0,0,720197626919396793,Apartment in Laureles,01/18/25 - 01/21/25,94,25,11,4.88,4.88 (97),13,https://www.airbnb.com/rooms/720197626919396793?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,26,3,130,1.382978723,16,0,16,0.170212766,,TRUE,TRUE,TRUE,,,,TRUE,,,,,TRUE,TRUE,,,,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2515,1165,0,1350,0,0,0,0,0,1249216079822389592,Apartment in Laureles,01/18/25 - 01/21/25,111,38,13,5,5.0 (9),1,https://www.airbnb.com/rooms/1249216079822389592?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,28,3,97,0.8738738739,15,14,29,0.2612612613,1 queen bed,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,,,TRUE,,,,,TRUE,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2515,1300,0,1215,0,0,0,0,0,832066808120820446,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,76,11,5,4.73,4.73 (70),28,https://www.airbnb.com/rooms/832066808120820446?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,20,3,59,0.7763157895,6,11,17,0.2236842105,,TRUE,,TRUE,,TRUE,,,,,,TRUE,,TRUE,,TRUE,,,,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2510,1325,0,1185,0,0,0,0,0,1036302349779288186,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,67,6,4,4.67,4.67 (9),34,https://www.airbnb.com/rooms/1036302349779288186?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,19,3,58,0.8656716418,9,0,9,0.1343283582,,,TRUE,,,TRUE,,,,,FALSE,,,,,,FALSE,,,,,TRUE,TRUE,,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2510,1345,0,1165,0,0,0,0,0,950129773166649277,Loft in Medellín,01/18/25 - 01/21/25,60,2,4,4.63,4.63 (40),38,https://www.airbnb.com/rooms/950129773166649277?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,19,3,58,0.9666666667,2,0,2,0.03333333333,1 double bed,,TRUE,,TRUE,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2505,1230,0,1275,0,0,0,0,0,914736772426400775,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,94,25,9,4.85,4.85 (41),16,https://www.airbnb.com/rooms/914736772426400775?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,24,3,72,0.7659574468,9,13,22,0.2340425532,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,TRUE,FALSE,,TRUE,,,,FALSE,TRUE,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2505,1330,0,1175,0,0,0,0,0,36039348,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,66,5,5,4.65,4.65 (125),36,https://www.airbnb.com/rooms/36039348?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,20,3,59,0.8939393939,7,0,7,0.1060606061,1 double bed,,TRUE,,,,,TRUE,,TRUE,,,,TRUE,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2495,1145,0,1350,0,0,0,0,0,1216731553402808272,Apartment in Belén,01/18/25 - 01/21/25,115,42,19,5,5.0 (13),1,https://www.airbnb.com/rooms/1216731553402808272?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,34,3,103,0.8956521739,12,0,12,0.1043478261,,TRUE,TRUE,TRUE,,TRUE,,TRUE,,TRUE,,,TRUE,TRUE,TRUE,,,TRUE,,,,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2495,1270,0,1225,0,0,0,0,0,1113285042747995398,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,82,17,3,4.75,4.75 (8),26,https://www.airbnb.com/rooms/1113285042747995398?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,18,3,54,0.6585365854,18,10,28,0.3414634146,,TRUE,TRUE,TRUE,,TRUE,,,,TRUE,FALSE,,,,,,FALSE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2490,1335,0,1155,0,0,0,0,0,27483325,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,65,4,2,4.61,4.61 (104),40,https://www.airbnb.com/rooms/27483325?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,16,3,47,0.7230769231,9,9,18,0.2769230769,,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,,FALSE,,,,,,FALSE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2480,1130,0,1350,0,0,0,0,0,847881844542646160,Apartment in San Javier,01/18/25 - 01/21/25,118,45,19,5,5.0 (69),1,https://www.airbnb.com/rooms/847881844542646160?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,34,3,101,0.8559322034,0,17,17,0.1440677966,3 beds,TRUE,TRUE,TRUE,,TRUE,,,,TRUE,FALSE,,TRUE,,,,FALSE,TRUE,,,,TRUE,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2475,1170,0,1305,0,0,0,0,0,945955410976754834,Loft in Laureles-Estadio,01/18/25 - 01/21/25,110,37,18,4.91,4.91 (22),10,https://www.airbnb.com/rooms/945955410976754834?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,33,3,98,0.8909090909,12,0,12,0.1090909091,,TRUE,TRUE,TRUE,,TRUE,,,,TRUE,FALSE,,TRUE,,,TRUE,FALSE,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2475,1225,0,1250,0,0,0,0,0,20000092,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,95,26,6,4.8,4.8 (187),21,https://www.airbnb.com/rooms/20000092?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,21,3,62,0.6526315789,20,13,33,0.3473684211,,TRUE,TRUE,TRUE,TRUE,,,TRUE,,,FALSE,TRUE,,TRUE,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2470,1120,0,1350,0,0,0,0,0,1309006070100973167,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,120,47,15,5,5.0 (4),1,https://www.airbnb.com/rooms/1309006070100973167?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,30,3,90,0.75,13,17,30,0.25,2 beds,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,,,,,,FALSE,,,,,TRUE,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2470,1245,0,1225,0,0,0,0,0,33433083,Apartment in Medellín,01/18/25 - 01/21/25,87,22,8,4.75,4.75 (129),26,https://www.airbnb.com/rooms/33433083?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,23,3,68,0.7816091954,7,12,19,0.2183908046,,TRUE,TRUE,,,TRUE,,,,TRUE,FALSE,,TRUE,TRUE,,,FALSE,TRUE,,TRUE,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2465,1115,0,1350,0,0,0,0,0,1234150559692111184,Apartment in Medellín,01/18/25 - 01/21/25,121,48,20,5,5.0 (8),1,https://www.airbnb.com/rooms/1234150559692111184?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,35,3,104,0.8595041322,0,17,17,0.1404958678,,TRUE,,TRUE,TRUE,TRUE,,,TRUE,,FALSE,,TRUE,,,,,TRUE,,,,TRUE,,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2465,1115,0,1350,0,0,0,0,0,1266153016647618674,Apartment in Belén,01/18/25 - 01/21/25,121,48,20,5,5.0 (8),1,https://www.airbnb.com/rooms/1266153016647618674?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,35,3,104,0.8595041322,0,17,17,0.1404958678,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,TRUE,FALSE,,TRUE,,,,,TRUE,,,,TRUE,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2465,1215,0,1250,0,0,0,0,0,1116079815784910314,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,99,28,8,4.8,4.8 (5),21,https://www.airbnb.com/rooms/1116079815784910314?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,23,3,69,0.696969697,16,14,30,0.303030303,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,,,TRUE,,,,TRUE,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2460,1180,0,1280,0,0,0,0,0,685391874315688463,Loft in Laureles,01/18/25 - 01/21/25,107,35,17,4.86,4.86 (22),15,https://www.airbnb.com/rooms/685391874315688463?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,32,3,97,0.9065420561,10,0,10,0.09345794393,1 bed,TRUE,TRUE,TRUE,,,,TRUE,,TRUE,FALSE,,TRUE,TRUE,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2455,1150,0,1305,0,0,0,0,0,730525227743248838,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,114,41,12,4.91,4.91 (55),10,https://www.airbnb.com/rooms/730525227743248838?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,27,3,80,0.701754386,18,16,34,0.298245614,1 bed,TRUE,,TRUE,TRUE,,,,,,FALSE,,TRUE,TRUE,,,FALSE,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2455,1165,0,1290,0,0,0,0,0,852892964089997080,Apartment in Laureles,01/18/25 - 01/21/25,111,38,11,4.88,4.88 (41),13,https://www.airbnb.com/rooms/852892964089997080?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,26,3,79,0.7117117117,16,16,32,0.2882882883,,TRUE,TRUE,TRUE,,,,TRUE,,,FALSE,,TRUE,TRUE,,,FALSE,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2455,1170,0,1285,0,0,0,0,0,660271633199436950,Loft in Laureles,01/18/25 - 01/21/25,110,37,14,4.87,4.87 (68),14,https://www.airbnb.com/rooms/660271633199436950?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,29,3,87,0.7909090909,9,14,23,0.2090909091,,TRUE,,TRUE,,,,,TRUE,TRUE,FALSE,TRUE,,TRUE,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2450,1125,0,1325,0,0,0,0,0,1109735560679449413,Loft in Laureles-Estadio,01/18/25 - 01/21/25,119,46,25,4.95,4.95 (56),6,https://www.airbnb.com/rooms/1109735560679449413?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,40,3,119,1,0,0,0,0,,TRUE,TRUE,TRUE,,TRUE,,,,TRUE,,,TRUE,TRUE,TRUE,,,TRUE,,,,TRUE,TRUE,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2450,1165,0,1285,0,0,0,0,0,615263216683244123,Vacation home in Laureles-Estadio,01/18/25 - 01/21/25,111,38,14,4.87,4.87 (82),14,https://www.airbnb.com/rooms/615263216683244123?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,29,3,86,0.7747747748,9,16,25,0.2252252252,2 beds,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,FALSE,,TRUE,,,,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2450,1220,0,1230,0,0,0,0,0,1052153928035014825,Apartment in Medellín,01/18/25 - 01/21/25,98,27,13,4.76,4.76 (37),25,https://www.airbnb.com/rooms/1052153928035014825?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,28,3,84,0.8571428571,14,0,14,0.1428571429,,TRUE,TRUE,TRUE,,TRUE,,TRUE,TRUE,,FALSE,TRUE,,TRUE,,,FALSE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2445,1095,0,1350,0,0,0,0,0,1316855225633746516,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,126,52,15,5,5.0 (3),1,https://www.airbnb.com/rooms/1316855225633746516?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,30,3,90,0.7142857143,18,18,36,0.2857142857,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,TRUE,FALSE,,,,,,FALSE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
