rank,totalRankScore,totalPriceRankScore,nightlyRateScore,reviewRankScore,rareFindScore,acScore,wifiScore,guestFavoriteScore,superhostScore,id,title,dates,totalPrice,totalPriceRank,nightlyRateRank,reviewScore,reviewScoreString,reviewScoreRank,url,nightlyRateDisplay,nights,nightlyTotalDisplay,nightlyTotalDisplayPercent,cleaningFee,airbnbFee,feeTotal,feePercent,beds,guest_favorite,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pets allowed,TV,Washer,Patio or balcony,Carbon monoxide alarm,Smoke alarm,Guest favorite,Hair dryer,Mabe refrigerator,Microwave,Smoking allowed,Courtyard view,Free street parking,Elevator,Exterior security cameras on property,Air conditioning,Superhost,TV with standard cable,Luggage dropoff allowed,Refrigerator,Shared hot tub - available all year,open specific hours,Shared sauna,Hot tub,50 inch HDTV with Netflix,Paid dryer – In building,Fast wifi – 321 Mbps,40 inch HDTV,Free washer – In unit,Private patio or balcony,Samsung refrigerator,Long term stays allowed,Free dryer – In unit,Pool,Crib,Indoor fireplace,City skyline view,Valley view,Wifi – 33 Mbps,Free parking garage on premises – 1 space,55 inch HDTV with Netflix,Sauna,Mountain view,Fast wifi – 396 Mbps,HDTV with Netflix,Free residential garage on premises – 1 space,AC - split type ductless system,Fast wifi – 77 Mbps,Shared hot tub - available all year,Free carport on premises – 1 space,21 inch TV with Disney+,standard cable,Roku,Fast wifi – 567 Mbps,Paid washer – In building,Garden view,43 inch HDTV with standard cable,Fast wifi – 280 Mbps,HDTV with standard cable,Shared pool,Free washer – In building,Shared backyard – Not fully fenced,Fast wifi – 296 Mbps,HDTV with Disney+,Roku,Dryer,Free residential garage on premises,HDTV with premium cable,Netflix,Amazon Prime Video,Disney+,55 inch HDTV with Amazon Prime Video,Netflix,standard cable,Shared outdoor pool - available all year,open specific hours,lap pool,Private hot tub,55 inch HDTV with Chromecast,Disney+,Netflix,32 inch TV with standard cable,Paid street parking off premises,Backyard,Shared outdoor pool - open specific hours,rooftop,43 inch HDTV with Netflix,Private backyard – Fully fenced,43 inch HDTV with Netflix,standard cable,Fast wifi – 249 Mbps,Free carport on premises – 2 spaces,Shared outdoor pool - available all year,open specific hours,43 inch HDTV,32 inch HDTV with Netflix,standard cable,55 inch HDTV with Amazon Prime Video,Disney+,HBO Max,Netflix,premium cable,standard cable,Children’s books and toys,Free driveway parking on premises,Private hot tub - available all year,open 24 hours,43 inch HDTV with standard cable,Amazon Prime Video,Disney+,Netflix,HBO Max,Free dryer – In building,32 inch HDTV with premium cable,TV with Netflix,MABE refrigerator,Fast wifi – 252 Mbps,Free carport on premises,Fast wifi – 95 Mbps,42 inch HDTV,Crib - available upon request,Fast wifi – 192 Mbps,43 inch HDTV with Netflix,premium cable,standard cable,Fast wifi – 83 Mbps,Park view,Fast wifi – 52 Mbps,Shared outdoor pool - available all year,open specific hours,heated,Washer – In building,Fast wifi – 94 Mbps,50 inch HDTV,Paid parking on premises,Children’s books and toys for ages 0-2 years old,2-5 years old,5-10 years old,and 10+ years old,55 inch HDTV with standard cable,Dryer – In unit
33,835,405,0,420,0,4,4,2,0,51049348,Apartment in Sabaneta,01/18/25 - 01/21/25,94,14,8,4.89,4.89 (99),11,https://www.airbnb.com/rooms/51049348?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,21,3,62,0.6595744681,20,12,32,0.3404255319,2 beds,TRUE,TRUE,TRUE,TRUE,,,TRUE,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,,,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,818,455,0,355,0,4,4,0,0,889980224445989891,Apartment in Itagüi,01/18/25 - 01/21/25,64,4,4,4.74,4.74 (54),24,https://www.airbnb.com/rooms/889980224445989891?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,17,3,52,0.8125,3,9,12,0.1875,,,TRUE,TRUE,,,TRUE,TRUE,TRUE,,FALSE,FALSE,,,,TRUE,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,815,410,0,395,0,4,4,2,0,881937919451851340,Apartment in Envigado,01/18/25 - 01/21/25,92,13,11,4.84,4.84 (103),16,https://www.airbnb.com/rooms/881937919451851340?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,24,3,72,0.7826086957,7,13,20,0.2173913043,2 beds,TRUE,TRUE,TRUE,TRUE,,,,TRUE,,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,803,465,0,330,0,4,4,0,0,910244347324351186,Apartment in Itagüi,01/18/25 - 01/21/25,53,2,2,4.58,4.58 (19),29,https://www.airbnb.com/rooms/910244347324351186?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,14,3,41,0.7735849057,5,7,12,0.2264150943,,,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,800,340,0,450,0,4,4,2,0,1267570302224081748,Loft in Medellín,01/18/25 - 01/21/25,131,27,27,4.96,4.96 (24),5,https://www.airbnb.com/rooms/1267570302224081748?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,44,3,131,1,0,0,0,0,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,FALSE,FALSE,TRUE,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,800,345,0,445,0,4,4,2,0,839202939495037727,Home in Itagüi,01/18/25 - 01/21/25,130,26,21,4.95,4.95 (44),6,https://www.airbnb.com/rooms/839202939495037727?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,37,3,110,0.8461538462,2,18,20,0.1538461538,,TRUE,TRUE,TRUE,TRUE,,,,TRUE,,FALSE,FALSE,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,798,430,0,360,0,4,4,0,0,53891218,Condo in Sabaneta,01/18/25 - 01/21/25,81,9,7,4.75,4.75 (120),23,https://www.airbnb.com/rooms/53891218?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,20,3,61,0.7530864198,9,11,20,0.2469135802,,,TRUE,TRUE,TRUE,,TRUE,,,,FALSE,FALSE,,,,,,,,TRUE,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,790,350,0,430,0,4,4,2,0,1079853852751430070,Apartment in Itagüi,01/18/25 - 01/21/25,129,25,16,4.91,4.91 (34),9,https://www.airbnb.com/rooms/1079853852751430070?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,32,3,97,0.7519379845,14,18,32,0.2480620155,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,,,TRUE,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,780,320,0,450,0,4,4,2,0,1049495384582433507,Guesthouse in Envigado,01/18/25 - 01/21/25,137,31,19,4.96,4.96 (24),5,https://www.airbnb.com/rooms/1049495384582433507?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,35,3,104,0.7591240876,14,19,33,0.2408759124,,TRUE,TRUE,,TRUE,,,TRUE,,,FALSE,FALSE,TRUE,,,,,,,,TRUE,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,775,295,0,470,0,4,4,2,0,1215240162994784824,Apartment in Medellín,01/18/25 - 01/21/25,156,36,24,5,5.0 (11),1,https://www.airbnb.com/rooms/1215240162994784824?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,40,3,119,0.7628205128,15,22,37,0.2371794872,1 bed,TRUE,TRUE,TRUE,TRUE,,,,TRUE,,FALSE,FALSE,TRUE,,,,,,,,,TRUE,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,775,355,0,410,0,4,4,2,0,50346247,Apartment in Itagüi,01/18/25 - 01/21/25,123,24,18,4.87,4.87 (39),13,https://www.airbnb.com/rooms/50346247?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,34,3,102,0.8292682927,21,0,21,0.1707317073,4 beds,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,775,355,0,410,0,4,4,2,0,49031810,Apartment in Itagüi,01/18/25 - 01/21/25,123,24,18,4.87,4.87 (45),13,https://www.airbnb.com/rooms/49031810?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,34,3,102,0.8292682927,21,0,21,0.1707317073,,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,770,290,0,470,0,4,4,2,0,1076889556347667187,Apartment in Sabaneta,01/18/25 - 01/21/25,158,37,22,5,5.0 (9),1,https://www.airbnb.com/rooms/1076889556347667187?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,38,3,115,0.7278481013,21,22,43,0.2721518987,3 beds,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,,FALSE,,TRUE,,,,,,,TRUE,TRUE,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,768,385,0,375,0,4,4,0,0,1271147162761970978,Loft in Medellín,01/18/25 - 01/21/25,106,18,19,4.8,4.8 (20),20,https://www.airbnb.com/rooms/1271147162761970978?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,35,3,106,1,0,0,0,0,,,,TRUE,TRUE,,TRUE,TRUE,TRUE,,FALSE,FALSE,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,763,285,0,470,0,4,4,0,0,1263233888052673027,Apartment in Sabaneta,01/18/25 - 01/21/25,162,38,24,5,5.0 (4),1,https://www.airbnb.com/rooms/1263233888052673027?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,40,3,121,0.7469135802,18,23,41,0.2530864198,,,TRUE,TRUE,TRUE,,TRUE,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,760,325,0,425,0,4,4,2,0,1148562372019029958,Loft in Medellín,01/18/25 - 01/21/25,136,30,28,4.9,4.9 (42),10,https://www.airbnb.com/rooms/1148562372019029958?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,45,3,136,1,0,0,0,0,,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,,,,TRUE,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,760,330,0,420,0,4,4,2,0,1029560711170787596,Apartment in Itagüi,01/18/25 - 01/21/25,134,29,16,4.89,4.89 (9),11,https://www.airbnb.com/rooms/1029560711170787596?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,32,3,97,0.723880597,18,19,37,0.276119403,,TRUE,TRUE,TRUE,TRUE,,,TRUE,,,FALSE,FALSE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,750,270,0,470,0,4,4,2,0,1263769456381535784,Apartment in Medellín,01/18/25 - 01/21/25,169,41,32,5,5.0 (12),1,https://www.airbnb.com/rooms/1263769456381535784?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,50,3,165,0.9763313609,0,21,21,0.124260355,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,,TRUE,,,TRUE,,,,TRUE,TRUE,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,750,315,0,425,0,4,4,2,0,53444721,Condo in Itagüi,01/18/25 - 01/21/25,138,32,16,4.9,4.9 (52),10,https://www.airbnb.com/rooms/53444721?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,32,3,96,0.6956521739,25,17,42,0.3043478261,3 beds,TRUE,TRUE,TRUE,,,,,,,FALSE,FALSE,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,748,370,0,370,0,4,4,0,0,34362282,Loft in Medellín,01/18/25 - 01/21/25,115,21,14,4.78,4.78 (121),21,https://www.airbnb.com/rooms/34362282?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,27,3,81,0.7043478261,18,16,34,0.2956521739,2 beds,,TRUE,TRUE,,,,,TRUE,,,,,TRUE,,TRUE,,,,TRUE,,,,TRUE,,TRUE,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,748,395,0,345,0,4,4,0,0,951594985056771878,Apartment in Sabaneta,01/18/25 - 01/21/25,102,16,14,4.71,4.71 (38),26,https://www.airbnb.com/rooms/951594985056771878?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,27,3,81,0.7941176471,7,14,21,0.2058823529,1 bed,,TRUE,TRUE,TRUE,TRUE,,TRUE,,,FALSE,FALSE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,745,295,0,440,0,4,4,2,0,48904782,Loft in Sabaneta,01/18/25 - 01/21/25,156,36,23,4.94,4.94 (151),7,https://www.airbnb.com/rooms/48904782?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,39,3,117,0.75,20,19,39,0.25,2 beds,TRUE,TRUE,,TRUE,TRUE,TRUE,,,,FALSE,FALSE,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,743,415,0,320,0,4,4,0,0,1277008216990610527,Cabin in San Antonio de Prado,01/18/25 - 01/21/25,91,12,11,,New,31,https://www.airbnb.com/rooms/1277008216990610527?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,24,3,71,0.7802197802,7,13,20,0.2197802198,1 bed,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,FALSE,FALSE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,740,280,0,450,0,4,4,2,0,10450836,Apartment in Medellín,01/18/25 - 01/21/25,163,39,25,4.96,4.96 (25),5,https://www.airbnb.com/rooms/10450836?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,41,3,123,0.754601227,20,20,40,0.245398773,,TRUE,TRUE,TRUE,,,TRUE,,,,FALSE,FALSE,TRUE,,,,,,,TRUE,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,740,295,0,435,0,4,4,2,0,930335553159337490,Apartment in Sabaneta,01/18/25 - 01/21/25,156,36,23,4.92,4.92 (25),8,https://www.airbnb.com/rooms/930335553159337490?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,39,3,117,0.75,20,19,39,0.25,,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,740,300,0,430,0,4,4,2,0,689809736753746885,Loft in Sabaneta,01/18/25 - 01/21/25,152,35,21,4.91,4.91 (92),9,https://www.airbnb.com/rooms/689809736753746885?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,37,3,111,0.7302631579,22,19,41,0.2697368421,2 beds,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,FALSE,FALSE,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,740,320,0,410,0,4,4,2,0,1152135982079745771,Loft in Medellín,01/18/25 - 01/21/25,137,31,29,4.87,4.87 (55),13,https://www.airbnb.com/rooms/1152135982079745771?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,46,3,137,1,0,0,0,0,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,TRUE,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,738,360,0,370,0,4,4,0,0,705312667768260340,Apartment in Itagüi,01/18/25 - 01/21/25,122,23,15,4.78,4.78 (18),21,https://www.airbnb.com/rooms/705312667768260340?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,29,3,87,0.7131147541,20,15,35,0.2868852459,2 double beds,,TRUE,TRUE,TRUE,,,TRUE,TRUE,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,735,255,0,470,0,4,4,2,0,1141171209844029961,Apartment in Sabaneta,01/18/25 - 01/21/25,175,44,22,5,5.0 (17),1,https://www.airbnb.com/rooms/1141171209844029961?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,38,3,144,0.8228571429,38,22,60,0.3428571429,,TRUE,TRUE,,TRUE,,,,,,,,TRUE,,,TRUE,,,,TRUE,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,720,240,0,470,0,4,4,2,0,1276215525694557976,Apartment in Sabaneta,01/18/25 - 01/21/25,178,47,27,5,5.0 (6),1,https://www.airbnb.com/rooms/1276215525694557976?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,44,3,131,0.7359550562,22,25,47,0.2640449438,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,,,TRUE,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,720,305,0,405,0,4,4,2,0,1151410939484593475,Loft in Medellín,01/18/25 - 01/21/25,148,34,21,4.86,4.86 (36),14,https://www.airbnb.com/rooms/1151410939484593475?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,37,3,110,0.7432432432,17,21,38,0.2567567568,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,,FALSE,FALSE,TRUE,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,715,355,0,350,0,4,4,2,0,43913728,Apartment in Itagüi,01/18/25 - 01/21/25,123,24,20,4.72,4.72 (18),25,https://www.airbnb.com/rooms/43913728?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,36,3,108,0.8780487805,0,15,15,0.1219512195,3 beds,TRUE,TRUE,,TRUE,TRUE,,,,,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,713,365,0,340,0,4,4,0,0,897936752987559058,Apartment in Itagüi,01/18/25 - 01/21/25,120,22,12,4.69,4.69 (16),27,https://www.airbnb.com/rooms/897936752987559058?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,25,3,88,0.7333333333,28,17,45,0.375,,,TRUE,,TRUE,,TRUE,,,,FALSE,FALSE,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,705,275,0,420,0,4,4,2,0,50959813,Apartment in Sabaneta,01/18/25 - 01/21/25,167,40,26,4.89,4.89 (116),11,https://www.airbnb.com/rooms/50959813?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,42,3,126,0.754491018,20,21,41,0.245508982,,TRUE,TRUE,TRUE,,TRUE,,TRUE,,TRUE,,,TRUE,,,,,,,TRUE,,,,,TRUE,,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,695,230,0,455,0,4,4,2,0,1009614986162695739,Home in Itagüi,01/18/25 - 01/21/25,185,49,34,4.97,4.97 (37),4,https://www.airbnb.com/rooms/1009614986162695739?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,54,3,181,0.9783783784,22,0,22,0.1189189189,3 beds,TRUE,TRUE,TRUE,,,TRUE,TRUE,,,FALSE,FALSE,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,690,210,0,470,0,4,4,2,0,1275008737023892445,Apartment in Itagüi,01/18/25 - 01/21/25,190,53,36,5,5.0 (6),1,https://www.airbnb.com/rooms/1275008737023892445?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,56,3,168,0.8842105263,22,0,22,0.1157894737,3 beds,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,,,,TRUE,TRUE,,,,,TRUE,,TRUE,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
