rank,totalRankScore,totalPriceRankScore,nightlyRateScore,reviewRankScore,rareFindScore,acScore,wifiScore,id,title,dates,totalPrice,totalPriceRank,nightlyRateRank,reviewScore,reviewScoreString,reviewScoreRank,url,nightlyRateDisplay,nights,nightlyTotalDisplay,nightlyTotalDisplayPercent,cleaningFee,airbnbFee,feeTotal,feePercent,beds,guest_favorite,Kitchen,Fast wifi – 321 Mbps,Dedicated workspace,40 inch HDTV,Elevator,Free washer – In unit,Private patio or balcony,Samsung refrigerator,Microwave,Long term stays allowed,Guest favorite,Wifi,TV,Washer,Dryer,Air conditioning,Patio or balcony,Luggage dropoff allowed,Exterior security cameras on property,Free parking on premises,Shared outdoor pool - available all year,open specific hours,Shared sauna,Washer – In unit,Superhost,Paid parking on premises,Shared hot tub - open specific hours,Carbon monoxide alarm,Smoke alarm,City skyline view,Fast wifi – 266 Mbps,Free parking garage on premises,70 inch HDTV with Amazon Prime Video,Netflix,premium cable,Free dryer – In unit,Mountain view,Fast wifi – 202 Mbps,Shared outdoor pool - available all year,open specific hours,lap pool,pool toys,Pets allowed,65 inch HDTV with Netflix,Pool,Hair dryer,Free street parking,Hot tub,50 inch HDTV with Netflix,Mabe refrigerator,Smoking allowed,Valley view,Shared hot tub,Fast wifi – 120 Mbps,Free residential garage on premises – 1 space,Park view,Fast wifi – 187 Mbps,55 inch HDTV with standard cable,Netflix,Amazon Prime Video,Refrigerator,Shared outdoor pool - open specific hours,infinity,55 inch HDTV with Netflix,premium cable,Free dryer,Shared pool,Crib,Shared hot tub - available all year,open specific hours,TV with Roku,Netflix,Shared outdoor pool - open specific hours,Free carport on premises,Sauna,HDTV with standard cable,40 inch HDTV with standard cable,Free carport on premises – 1 space,Shared outdoor pool - available all year,open specific hours,rooftop,HDTV,Fast wifi – 495 Mbps,Paid washer – In building,Paid dryer – In building,HDTV with Netflix,55 inch HDTV,Fast wifi – 77 Mbps,Outdoor pool - open specific hours,TV with standard cable,55 inch HDTV with Netflix,Shared outdoor pool - available all year,open specific hours,heated,Private hot tub - available all year,open 24 hours,HDTV with Fire TV,Garden view,43 inch HDTV with standard cable,Backyard,Fast wifi – 567 Mbps,Free parking on premises – 1 space,Shared outdoor pool - open specific hours,rooftop,Fast wifi – 280 Mbps,32 inch TV with Netflix,standard cable,Free washer – In building,HDTV with Netflix,standard cable,Fast wifi – 59 Mbps,39 inch HDTV,AC - split type ductless system,HDTV with Amazon Prime Video,Bathtub,High chair,60 inch HDTV,Courtyard view,70 inch HDTV with Netflix,premium cable,Roku,standard cable,Free driveway parking on premises – 1 space,Private hot tub,140 inch HDTV with HBO Max,Netflix,DVD player,Portable air conditioning,Shared outdoor pool - available all year,rooftop,60 inch HDTV with Netflix,standard cable,34 inch HDTV with standard cable,Marina view,Free parking garage on premises – 1 space,55 inch HDTV with Amazon Prime Video,Netflix,standard cable,42 inch HDTV with Amazon Prime Video,Netflix,premium cable,standard cable,32 inch HDTV with premium cable,Paid street parking off premises,Paid parking lot off premises,HDTV with standard cable,Netflix,Amazon Prime Video,46 inch HDTV with standard cable,Private backyard,42 inch HDTV with standard cable,Shared pool - open specific hours,Fast wifi – 191 Mbps,Gym in building,Pack ’n play/Travel crib,Hot tub - open specific hours,60 inch HDTV with Netflix,Fast wifi – 317 Mbps,32 inch HDTV with Netflix,Amazon Prime Video,premium cable,Fast wifi – 420 Mbps,Shared hot tub - available seasonally,open specific hours,HDTV with Amazon Prime Video,Apple TV,Disney+,Netflix,42 inch HDTV with Netflix,Fast wifi – 563 Mbps,Fast wifi – 299 Mbps,Dryer – In unit,Fast wifi – 199 Mbps,55 inch TV,43 inch HDTV,Canal view,Shared pool - open specific hours,rooftop,50 inch TV with Roku,standard cable,Crib - available upon request,Shared patio or balcony,Fast wifi – 95 Mbps,42 inch HDTV,Fast wifi – 230 Mbps,32 inch TV with standard cable,premium cable,140 inch HDTV,Fast wifi – 327 Mbps,32 inch HDTV with standard cable,River view,Fast wifi – 318 Mbps,43 inch HDTV with standard cable,Roku,Children’s books and toys,Free residential garage on premises – 2 spaces,127 inch HDTV,32 inch TV with standard cable,Fast wifi – 336 Mbps,Baby bath,Shared outdoor pool - available all year,open specific hours,heated,rooftop,Shared hot tub - available all year,50 inch HDTV with Amazon Prime Video,Netflix,60 inch HDTV with Amazon Prime Video,50 inch HDTV with Chromecast,Disney+,Fast wifi – 231 Mbps,Shared outdoor pool - available all year,open specific hours,heated,infinity,Gym,Free dryer – In building,Shared pool - available all year,Washer – In building,50 inch HDTV with Netflix,premium cable,43 inch HDTV with Netflix,Free washer,Fast wifi – 644 Mbps,40 inch TV,Outdoor pool - available all year,open specific hours,Shared gym in building
24,3694,0,1265,1345,0,4,1080,841598536153994481,Apartment in Sabaneta,01/18/25 - 01/21/25,0,270,17,5,5.0 (5),1,https://www.airbnb.com/rooms/841598536153994481?,31,0,0,NaN,0,0,0,NaN,,,TRUE,,,,,,,,,,,TRUE,TRUE,TRUE,,,TRUE,,,TRUE,,,,,,,FALSE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,3694,0,1280,1330,0,4,1080,46508505,Loft in Envigado,01/18/25 - 01/21/25,0,270,14,4.96,4.96 (57),4,https://www.airbnb.com/rooms/46508505?,28,0,0,NaN,0,0,0,NaN,2 beds,,TRUE,,TRUE,,,,TRUE,,,,,TRUE,TRUE,TRUE,,,,,TRUE,TRUE,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,3694,0,1315,1295,0,4,1080,1027680173780340443,Loft in Sabaneta,01/18/25 - 01/21/25,0,270,7,4.89,4.89 (9),11,https://www.airbnb.com/rooms/1027680173780340443?,21,0,0,NaN,0,0,0,NaN,,,TRUE,,TRUE,,,,,,,TRUE,,TRUE,,,,,,,TRUE,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,3691,0,1260,1345,0,4,1080,1139807167695971777,Apartment in Sabaneta,01/18/25 - 01/21/25,0,270,18,5,5.0 (12),1,https://www.airbnb.com/rooms/1139807167695971777?,32,0,0,NaN,0,0,0,NaN,,TRUE,TRUE,,TRUE,,,,,,,,TRUE,TRUE,TRUE,TRUE,,TRUE,,,TRUE,,,,,,,,FALSE,FALSE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,3691,0,1295,1310,0,4,1080,760214378923215207,Apartment in Sabaneta,01/18/25 - 01/21/25,0,270,11,4.92,4.92 (59),8,https://www.airbnb.com/rooms/760214378923215207?,25,0,0,NaN,0,0,0,NaN,1 bed,TRUE,TRUE,,TRUE,,,,,,,,TRUE,TRUE,,,,,,,,TRUE,,TRUE,,,,,FALSE,FALSE,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,3691,0,1295,1310,0,4,1080,1194447361898895941,Apartment in Sabaneta,01/18/25 - 01/21/25,0,270,11,4.92,4.92 (12),8,https://www.airbnb.com/rooms/1194447361898895941?,25,0,0,NaN,0,0,0,NaN,2 beds,TRUE,TRUE,,TRUE,,,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,3686,0,1255,1345,0,4,1080,1233383047595531006,Apartment in Sabaneta,01/18/25 - 01/21/25,0,270,19,5,5.0 (8),1,https://www.airbnb.com/rooms/1233383047595531006?,33,0,0,NaN,0,0,0,NaN,,TRUE,TRUE,,TRUE,,,,,,,,TRUE,TRUE,,TRUE,,,,,TRUE,,,,,,,,FALSE,FALSE,,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,3686,0,1280,1320,0,4,1080,1205894287822854394,Apartment in Sabaneta,01/18/25 - 01/21/25,0,270,14,4.94,4.94 (18),6,https://www.airbnb.com/rooms/1205894287822854394?,28,0,0,NaN,0,0,0,NaN,1 bed,TRUE,TRUE,,,,,TRUE,TRUE,,,,TRUE,TRUE,TRUE,,,,,TRUE,,,,,,,,,FALSE,FALSE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,3686,0,1280,1320,0,4,1080,54104425,Loft in  Sabaneta,01/18/25 - 01/21/25,0,270,14,4.94,4.94 (18),6,https://www.airbnb.com/rooms/54104425?,28,0,0,NaN,0,0,0,NaN,1 bed,TRUE,TRUE,,,,TRUE,TRUE,,,,,TRUE,TRUE,,,,,,,TRUE,,,,,,,,FALSE,FALSE,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,3686,0,1280,1320,0,4,1080,1162332920011599348,Loft in Sabaneta,01/18/25 - 01/21/25,0,270,14,4.94,4.94 (16),6,https://www.airbnb.com/rooms/1162332920011599348?,28,0,0,NaN,0,0,0,NaN,,TRUE,TRUE,,,,TRUE,,,,,,TRUE,TRUE,TRUE,TRUE,,,TRUE,,TRUE,,,,,,,,FALSE,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,3686,0,1305,1295,0,4,1080,978140399029531552,Apartment in Sabaneta,01/18/25 - 01/21/25,0,270,9,4.89,4.89 (36),11,https://www.airbnb.com/rooms/978140399029531552?,23,0,0,NaN,0,0,0,NaN,,TRUE,TRUE,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,3681,0,1255,1340,0,4,1080,776030602477094820,Apartment in Las Lomitas,01/18/25 - 01/21/25,0,270,19,4.98,4.98 (46),2,https://www.airbnb.com/rooms/776030602477094820?,33,0,0,NaN,0,0,0,NaN,2 beds,TRUE,TRUE,,TRUE,,,,,,,,TRUE,TRUE,TRUE,,,,,,TRUE,TRUE,,,,,,,FALSE,FALSE,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,3681,0,1270,1325,0,4,1080,1205273598416577470,Apartment in Sabaneta,01/18/25 - 01/21/25,0,270,16,4.95,4.95 (20),5,https://www.airbnb.com/rooms/1205273598416577470?,30,0,0,NaN,0,0,0,NaN,2 beds,TRUE,TRUE,,TRUE,,TRUE,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,3681,0,1325,1270,0,4,1080,51329719,Apartment in Sabaneta,01/18/25 - 01/21/25,0,270,5,4.84,4.84 (122),16,https://www.airbnb.com/rooms/51329719?,18,0,0,NaN,0,0,0,NaN,2 beds,TRUE,TRUE,,TRUE,,,,TRUE,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,3679,0,1310,1280,0,4,1080,889382957757586995,Apartment in Sabaneta,01/18/25 - 01/21/25,0,270,8,4.86,4.86 (7),14,https://www.airbnb.com/rooms/889382957757586995?,22,0,0,NaN,0,0,0,NaN,3 beds,,TRUE,,,,TRUE,,TRUE,,,,,TRUE,TRUE,TRUE,,,,,,,,,,TRUE,,,FALSE,FALSE,,,,,,,,,,,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,3676,0,1245,1345,0,4,1080,1223363158733247458,Apartment in Sabaneta,01/18/25 - 01/21/25,0,270,21,5,5.0 (9),1,https://www.airbnb.com/rooms/1223363158733247458?,35,0,0,NaN,0,0,0,NaN,4 beds,TRUE,TRUE,,TRUE,,TRUE,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,,,,TRUE,,,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,3676,0,1245,1345,0,4,1080,1274041949768608154,Apartment in Sabaneta,01/18/25 - 01/21/25,0,270,21,5,5.0 (5),1,https://www.airbnb.com/rooms/1274041949768608154?,35,0,0,NaN,0,0,0,NaN,,TRUE,TRUE,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,3676,0,1245,1345,0,4,1080,1049410378674421703,Guesthouse in Envigado,01/18/25 - 01/21/25,0,270,21,5,5.0 (14),1,https://www.airbnb.com/rooms/1049410378674421703?,35,0,0,NaN,0,0,0,NaN,,TRUE,,,TRUE,,,,,,,,TRUE,,TRUE,,,TRUE,,TRUE,TRUE,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,3676,0,1260,1330,0,4,1080,34542872,Condo in Sabaneta,01/18/25 - 01/21/25,0,270,18,4.96,4.96 (77),4,https://www.airbnb.com/rooms/34542872?,32,0,0,NaN,0,0,0,NaN,3 beds,TRUE,TRUE,,,,TRUE,,TRUE,,TRUE,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,3676,0,1265,1325,0,4,1080,1110878274361183296,Apartment in Sabaneta,01/18/25 - 01/21/25,0,270,17,4.95,4.95 (20),5,https://www.airbnb.com/rooms/1110878274361183296?,31,0,0,NaN,0,0,0,NaN,3 beds,TRUE,TRUE,,TRUE,,TRUE,,,,,,TRUE,TRUE,TRUE,,,,,,TRUE,TRUE,,TRUE,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,3676,0,1270,1320,0,4,1080,923890673531143339,Apartment in Sabaneta,01/18/25 - 01/21/25,0,270,16,4.94,4.94 (18),6,https://www.airbnb.com/rooms/923890673531143339?,30,0,0,NaN,0,0,0,NaN,,TRUE,TRUE,,TRUE,,,,,,,,TRUE,,,,,,,,TRUE,,,,,,,,FALSE,FALSE,TRUE,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,3676,0,1285,1305,0,4,1080,1199051290886163508,Apartment in Sabaneta,01/18/25 - 01/21/25,0,270,13,4.91,4.91 (11),9,https://www.airbnb.com/rooms/1199051290886163508?,27,0,0,NaN,0,0,0,NaN,1 double bed,TRUE,TRUE,,,,TRUE,,,,,,TRUE,TRUE,TRUE,,,,,,TRUE,,,TRUE,,,,,FALSE,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,3676,0,1290,1300,0,4,1080,884967014224031018,Apartment in Cañaveralejo,01/18/25 - 01/21/25,0,270,12,4.9,4.9 (10),10,https://www.airbnb.com/rooms/884967014224031018?,26,0,0,NaN,0,0,0,NaN,,TRUE,TRUE,,TRUE,,,TRUE,,,,,TRUE,TRUE,,,,,,TRUE,,,,,,,,,FALSE,,TRUE,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,3676,0,1295,1295,0,4,1080,54377841,Vacation home in Sabaneta,01/18/25 - 01/21/25,0,270,11,4.89,4.89 (90),11,https://www.airbnb.com/rooms/54377841?,25,0,0,NaN,0,0,0,NaN,,TRUE,TRUE,,,,TRUE,TRUE,,,,,TRUE,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,3674,0,1280,1310,0,4,1080,896461508513674039,Apartment in Cañaveralejo,01/18/25 - 01/21/25,0,270,14,4.92,4.92 (12),8,https://www.airbnb.com/rooms/896461508513674039?,28,0,0,NaN,0,0,0,NaN,,,TRUE,,TRUE,,,,,,,,,TRUE,TRUE,TRUE,,,,TRUE,,,,,,,,,FALSE,,TRUE,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,3671,0,1240,1345,0,4,1080,1141171209844029961,Apartment in Sabaneta,01/18/25 - 01/21/25,0,270,22,5,5.0 (17),1,https://www.airbnb.com/rooms/1141171209844029961?,36,0,0,NaN,0,0,0,NaN,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,3671,0,1240,1345,0,4,1080,1197381635490329273,Apartment in Sabaneta,01/18/25 - 01/21/25,0,270,22,5,5.0 (6),1,https://www.airbnb.com/rooms/1197381635490329273?,36,0,0,NaN,0,0,0,NaN,2 beds,TRUE,TRUE,,TRUE,,,,TRUE,,,,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,3671,0,1315,1270,0,4,1080,1157573849520944472,Apartment in Sabaneta,01/18/25 - 01/21/25,0,270,7,4.84,4.84 (19),16,https://www.airbnb.com/rooms/1157573849520944472?,21,0,0,NaN,0,0,0,NaN,1 bed,TRUE,TRUE,,TRUE,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,3669,0,1260,1320,0,4,1080,49572932,Apartment in Sabaneta,01/18/25 - 01/21/25,0,270,18,4.94,4.94 (50),6,https://www.airbnb.com/rooms/49572932?,32,0,0,NaN,0,0,0,NaN,1 double bed,,TRUE,,,,TRUE,,TRUE,,,,,TRUE,,TRUE,,,,TRUE,,TRUE,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
