,rank,totalRankScore,totalPriceRankScore,nightlyRateScore,reviewRankScore,rareFindScore,acScore,wifiScore,guestFavoriteScore,superhostScore,id,LikeIt,MessageSent,Responded,title,dates,totalPrice,totalPriceRank,nightlyRateRank,reviewScore,reviewScoreString,reviewScoreRank,url,nightlyRateDisplay,nights,nightlyTotalDisplay,nightlyTotalDisplayPercent,cleaningFee,airbnbFee,feeTotal,feePercent,beds,guest_favorite,Kitchen,Wifi,Free street parking,Pets allowed,40 inch HDTV,Washer,SAMSUNG refrigerator,Microwave,Carbon monoxide alarm,Smoke alarm,Guest favorite,Refrigerator,Dedicated workspace,Free parking on premises,65 inch HDTV with HBO Max,Netflix,standard cable,Patio or balcony,Superhost,TV,Private patio or balcony,Exterior security cameras on property,TV with Roku,Private backyard,Luggage dropoff allowed,City skyline view,32 inch HDTV with premium cable,Free washer – In unit,Hair dryer,Long term stays allowed,Backyard,Mountain view,Valley view,Outdoor pool - available all year,open specific hours,Fast wifi – 522 Mbps,43 inch HDTV with Netflix,premium cable,Smoking allowed,Paid parking on premises,Hot tub,Air conditioning,Fire pit,Free parking garage on premises – 1 space,Free residential garage on premises – 1 space,Pool,Shared hot tub - available all year,open specific hours,Shared sauna,Elevator,Paid washer – In building,Paid dryer – In building,Fast wifi – 192 Mbps,TV with standard cable,Wifi – 30 Mbps,HDTV with Netflix,standard cable,EV charger,Fast wifi – 321 Mbps,Samsung refrigerator,Garden view,Shared pool,Bathtub,Dryer,Free driveway parking on premises – 2 spaces,Shared outdoor pool - available all year,open 24 hours,Private hot tub - available all year,open 24 hours,River view,Fast wifi – 220 Mbps,Courtyard view,Free driveway parking on premises,43 inch HDTV with Netflix,Roku,HDTV with Netflix,Free dryer – In unit,Shared patio or balcony,Haceb refrigerator,Fast wifi – 200 Mbps,HDTV with standard cable,Shared outdoor pool - available all year,open specific hours,Mabe refrigerator,55 inch HDTV with Netflix,50 inch HDTV,Park view,Fast wifi – 510 Mbps,Free washer – In building,Shared hot tub,Free dryer – In building,Central air conditioning,Private backyard – Fully fenced,Fast wifi – 363 Mbps,43 inch HDTV with Netflix,standard cable,Paid washer,Fast wifi – 463 Mbps,43 inch HDTV with HBO Max,Netflix,standard cable,Private backyard – Not fully fenced,Free carport on premises,HDTV with standard cable,Netflix,Lake view,Private hot tub,TV with Fire TV,Washer – In unit,High chair,43 inch HDTV,AC - split type ductless system,30 inch TV with Roku,Netflix,Ae refrigerator,Wifi – 5 Mbps,Fast wifi – 60 Mbps,Free residential garage on premises,40 inch HDTV with Chromecast,standard cable,Fast wifi – 175 Mbps,32 inch HDTV with standard cable,Fast wifi – 182 Mbps,55 inch HDTV with Amazon Prime Video,Netflix,standard cable,Shared outdoor pool - available all year,open specific hours,lap pool,55 inch HDTV with Chromecast,Disney+,Netflix,50 inch HDTV with standard cable,55 inch HDTV,Portable air conditioning,Free parking garage on premises,Shared outdoor pool - available all year,open specific hours,rooftop,HDTV with Netflix,Disney+,Fast wifi – 218 Mbps,49 inch HDTV with standard cable,Fast wifi – 249 Mbps,Free carport on premises – 2 spaces,40 inch HDTV with Netflix,standard cable,HDTV with Amazon Prime Video,Disney+,Netflix,40 inch HDTV with HBO Max,Netflix,Fast wifi – 264 Mbps,43 inch HDTV with standard cable,Amazon Prime Video,Disney+,Netflix,HBO Max,HDTV with Netflix,Amazon Prime Video,standard cable,Shared pool - available all year,Fast wifi – 252 Mbps,Fast wifi – 315 Mbps,Shared indoor pool - available all year,open specific hours,rooftop,32 inch HDTV with Netflix,standard cable,Free driveway parking on premises – 1 space,Shared outdoor pool - available all year,open specific hours,heated,32 inch TV with standard cable,TV with Netflix,Free washer,43 inch HDTV with standard cable,Fast wifi – 81 Mbps,HDTV with Amazon Prime Video,Netflix,Fast wifi – 318 Mbps,HDTV with standard cable,Roku,Netflix,premium cable,32 inch HDTV with Netflix,premium cable,43 inch HDTV with Netflix,premium cable,standard cable,Fast wifi – 306 Mbps,Free carport on premises – 1 space,32 inch HDTV with Roku,43 inch HDTV with Netflix,standard cable,Disney+,HBO Max,Amazon Prime Video,Private pool - available all year,open specific hours,65 inch HDTV with Netflix,Pool view,Wifi – 9 Mbps,Private hot tub - available all year,open specific hours,Shared backyard – Not fully fenced,Breakfast,Private indoor pool - available all year,open specific hours,heated,lap pool,Fast wifi – 106 Mbps,Canal view,90 inch HDTV with Netflix,standard cable,Dryer – In unit,43 inch TV with Netflix,LG refrigerator,Paid parking lot on premises – 1 space,Crib,Shared pool - open specific hours,Waterfront,Shared outdoor pool - open specific hours,infinity,lap pool,pool toys
,23,1895,985,0,910,0,0,0,0,0,51965776,,,,Apartment in Bello,01/18/25 - 01/21/25,64,8,4,4.77,4.77 (43),23,https://www.airbnb.com/rooms/51965776?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,18,3,55,0.859375,0,9,9,0.140625,,,TRUE,TRUE,,TRUE,,TRUE,,,,,,,TRUE,TRUE,,,TRUE,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,1890,870,0,1020,0,0,0,0,0,1166028212667450367,,,,Apartment in Bello,01/18/25 - 01/21/25,94,31,10,5,5.0 (5),1,https://www.airbnb.com/rooms/1166028212667450367?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,25,3,74,0.7872340426,7,13,20,0.2127659574,,TRUE,,TRUE,TRUE,TRUE,,,,TRUE,FALSE,,TRUE,,TRUE,,,,,,,TRUE,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25,1890,935,0,955,0,0,0,0,0,883373477188295804,,,,Apartment in Medellín,01/18/25 - 01/21/25,77,18,5,4.87,4.87 (120),14,https://www.airbnb.com/rooms/883373477188295804?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,19,3,57,0.7402597403,9,11,20,0.2597402597,1 bed,TRUE,TRUE,TRUE,,TRUE,,,,,FALSE,FALSE,TRUE,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26,1885,890,0,995,0,0,0,0,0,960221971109966772,,,,Loft in Medellín,01/18/25 - 01/21/25,88,27,8,4.95,4.95 (58),6,https://www.airbnb.com/rooms/960221971109966772?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,23,3,70,0.7954545455,9,11,20,0.2272727273,1 double bed,TRUE,TRUE,,,TRUE,,,,,FALSE,FALSE,TRUE,,TRUE,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,27,1885,930,0,955,0,0,0,0,0,556767792052528717,,,,Condo in Medellín,01/18/25 - 01/21/25,80,19,8,4.87,4.87 (76),14,https://www.airbnb.com/rooms/556767792052528717?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,23,3,69,0.8625,0,11,11,0.1375,,,TRUE,,,,,,,,FALSE,,,TRUE,,TRUE,,,TRUE,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28,1875,885,0,990,0,0,0,0,0,793407494927444611,,,,Apartment in Bello,01/18/25 - 01/21/25,90,28,8,4.94,4.94 (17),7,https://www.airbnb.com/rooms/793407494927444611?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,23,3,68,0.7555555556,9,13,22,0.2444444444,3 beds,,TRUE,TRUE,,TRUE,,TRUE,,,FALSE,FALSE,,TRUE,TRUE,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,29,1870,895,0,975,0,0,0,0,0,988745448461126049,,,,Apartment in Medellín,01/18/25 - 01/21/25,87,26,9,4.91,4.91 (43),10,https://www.airbnb.com/rooms/988745448461126049?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,24,3,71,0.816091954,16,0,16,0.183908046,4 beds,TRUE,TRUE,TRUE,,TRUE,,TRUE,,,FALSE,FALSE,TRUE,,TRUE,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30,1865,965,0,900,0,0,0,0,0,688548151468131001,,,,Apartment in Bello,01/18/25 - 01/21/25,69,12,6,4.74,4.74 (42),25,https://www.airbnb.com/rooms/688548151468131001?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,20,3,59,0.8550724638,0,10,10,0.1449275362,,,TRUE,TRUE,,TRUE,,TRUE,,,,,,TRUE,TRUE,TRUE,,,TRUE,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,31,1860,855,0,1005,0,0,0,0,0,1021004093326859990,,,,Cabin in Santa Elena,01/18/25 - 01/21/25,99,34,8,4.97,4.97 (104),4,https://www.airbnb.com/rooms/1021004093326859990?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,23,3,70,0.7070707071,15,14,29,0.2929292929,,TRUE,TRUE,TRUE,,TRUE,,,,,FALSE,FALSE,TRUE,,TRUE,TRUE,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,32,1860,920,0,940,0,0,0,0,0,807526984659256248,,,,Apartment in Medellín,01/18/25 - 01/21/25,82,21,8,4.84,4.84 (62),17,https://www.airbnb.com/rooms/807526984659256248?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,23,3,69,0.8414634146,13,0,13,0.1585365854,,,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,FALSE,,,TRUE,,,,TRUE,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,33,1855,865,0,990,0,0,0,0,0,1177100270781309639,,,,Apartment in Bello,01/18/25 - 01/21/25,97,32,12,4.94,4.94 (18),7,https://www.airbnb.com/rooms/1177100270781309639?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,28,3,83,0.8556701031,0,14,14,0.1443298969,2 double beds,TRUE,TRUE,,,TRUE,,,,,FALSE,FALSE,TRUE,,,TRUE,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,34,1855,865,0,990,0,0,0,0,0,840696596804961095,,,,Cabin in San Felix,01/18/25 - 01/21/25,97,32,10,4.94,4.94 (50),7,https://www.airbnb.com/rooms/840696596804961095?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,25,3,76,0.7835051546,7,14,21,0.2164948454,,TRUE,TRUE,TRUE,,TRUE,,,,,FALSE,FALSE,TRUE,,TRUE,TRUE,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35,1850,830,0,1020,0,0,0,0,0,1130622858689557155,,,,Apartment in Bello,01/18/25 - 01/21/25,106,39,12,5,5.0 (19),1,https://www.airbnb.com/rooms/1130622858689557155?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,28,3,83,0.7830188679,8,15,23,0.2169811321,,TRUE,TRUE,TRUE,,TRUE,,TRUE,,TRUE,FALSE,FALSE,TRUE,,,,,,,TRUE,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,36,1850,860,0,990,0,0,0,0,0,1163035417007723310,,,,Apartment in Medellín,01/18/25 - 01/21/25,98,33,12,4.94,4.94 (34),7,https://www.airbnb.com/rooms/1163035417007723310?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,28,3,84,0.8571428571,0,14,14,0.1428571429,1 bed,TRUE,TRUE,TRUE,,TRUE,,,,TRUE,FALSE,FALSE,TRUE,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,37,1850,870,0,980,0,0,0,0,0,1164611158936064154,,,,Apartment in Bello,01/18/25 - 01/21/25,94,31,7,4.92,4.92 (12),9,https://www.airbnb.com/rooms/1164611158936064154?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,21,3,63,0.670212766,18,13,31,0.329787234,3 double beds,TRUE,TRUE,TRUE,,,,TRUE,,,FALSE,FALSE,TRUE,TRUE,,TRUE,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,38,1850,915,0,935,0,0,0,0,0,803822037003000025,,,,Apartment in Bello,01/18/25 - 01/21/25,83,22,6,4.83,4.83 (6),18,https://www.airbnb.com/rooms/803822037003000025?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,20,3,60,0.7228915663,11,12,23,0.2771084337,3 beds,,TRUE,TRUE,,,,,,,FALSE,,,,TRUE,TRUE,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,39,1845,825,0,1020,0,0,0,0,0,1080734644084993575,,,,Apartment in Medellín,01/18/25 - 01/21/25,108,40,15,5,5.0 (20),1,https://www.airbnb.com/rooms/1080734644084993575?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,31,3,93,0.8611111111,0,15,15,0.1388888889,,TRUE,TRUE,TRUE,,TRUE,,TRUE,,,FALSE,FALSE,TRUE,,TRUE,TRUE,,,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40,1835,830,0,1005,0,0,0,0,0,1010318760880569056,,,,Apartment in Bello,01/18/25 - 01/21/25,106,39,14,4.97,4.97 (35),4,https://www.airbnb.com/rooms/1010318760880569056?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,30,3,91,0.858490566,0,15,15,0.141509434,,TRUE,TRUE,TRUE,,,,TRUE,,,FALSE,FALSE,TRUE,,TRUE,TRUE,,,,TRUE,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41,1835,865,0,970,0,0,0,0,0,864218313933825969,,,,Apartment in Copacabana,01/18/25 - 01/21/25,97,32,8,4.9,4.9 (49),11,https://www.airbnb.com/rooms/864218313933825969?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,23,3,70,0.7216494845,15,12,27,0.2783505155,2 beds,TRUE,TRUE,TRUE,,,,TRUE,,,FALSE,FALSE,TRUE,TRUE,TRUE,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42,1830,950,0,880,0,0,0,0,0,41771963,,,,Loft in Bello,01/18/25 - 01/21/25,73,15,4,4.7,4.7 (74),29,https://www.airbnb.com/rooms/41771963?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,18,3,54,0.7397260274,10,9,19,0.2602739726,1 double bed,TRUE,TRUE,,,,,,,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43,1830,960,0,870,0,0,0,0,0,1274883163574467561,,,,Apartment in Bello,01/18/25 - 01/21/25,70,13,4,4.67,4.67 (3),31,https://www.airbnb.com/rooms/1274883163574467561?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,18,3,55,0.7857142857,5,10,15,0.2142857143,,,TRUE,TRUE,,,,,,,FALSE,FALSE,,,,TRUE,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,44,1825,955,0,870,0,0,0,0,0,1237073777085327174,,,,Apartment in Bello,01/18/25 - 01/21/25,72,14,7,4.67,4.67 (9),31,https://www.airbnb.com/rooms/1237073777085327174?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,21,3,62,0.8611111111,0,10,10,0.1388888889,2 beds,,TRUE,TRUE,TRUE,TRUE,,TRUE,,,FALSE,FALSE,,,TRUE,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45,1820,800,0,1020,0,0,0,0,0,53258523,,,,Condo in Bello,01/18/25 - 01/21/25,113,45,16,5,5.0 (18),1,https://www.airbnb.com/rooms/53258523?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,32,3,97,0.8584070796,0,16,16,0.1415929204,,TRUE,TRUE,TRUE,,,,TRUE,,,FALSE,FALSE,TRUE,,,,,TRUE,,TRUE,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,46,1820,850,0,970,0,0,0,0,0,941582032953801944,,,,Apartment in Bello,01/18/25 - 01/21/25,100,35,10,4.9,4.9 (39),11,https://www.airbnb.com/rooms/941582032953801944?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,25,3,74,0.74,12,14,26,0.26,2 beds,TRUE,TRUE,TRUE,,TRUE,,TRUE,,,FALSE,FALSE,TRUE,TRUE,TRUE,,,,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,47,1820,950,0,870,0,0,0,0,0,1253970762445278724,,,,Apartment in Bello,01/18/25 - 01/21/25,73,15,7,4.67,4.67 (6),31,https://www.airbnb.com/rooms/1253970762445278724?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,21,3,63,0.8630136986,0,10,10,0.1369863014,2 double beds,,TRUE,TRUE,,TRUE,,TRUE,,,FALSE,FALSE,,TRUE,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,48,1815,870,0,945,0,0,0,0,0,914736772426400775,,,,Apartment in Medellín,01/18/25 - 01/21/25,94,31,9,4.85,4.85 (41),16,https://www.airbnb.com/rooms/914736772426400775?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,24,3,72,0.7659574468,9,13,22,0.2340425532,,TRUE,TRUE,TRUE,,TRUE,,,,,FALSE,FALSE,TRUE,TRUE,TRUE,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,49,1810,845,0,965,0,0,0,0,0,965903156904252491,,,,Apartment in Bello,01/18/25 - 01/21/25,101,36,8,4.89,4.89 (19),12,https://www.airbnb.com/rooms/965903156904252491?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,23,3,69,0.6831683168,18,14,32,0.3168316832,,TRUE,TRUE,TRUE,,,,TRUE,,TRUE,FALSE,,TRUE,TRUE,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
