,rank,totalRankScore,totalPriceRankScore,nightlyRateScore,reviewRankScore,rareFindScore,acScore,wifiScore,guestFavoriteScore,superhostScore,id,LikeIt,MessageSent,Responded,title,dates,totalPrice,totalPriceRank,nightlyRateRank,reviewScore,reviewScoreString,reviewScoreRank,url,nightlyRateDisplay,nights,nightlyTotalDisplay,nightlyTotalDisplayPercent,cleaningFee,airbnbFee,feeTotal,feePercent,beds,Kitchen,Wifi,Dedicated workspace,Pets allowed,TV,Portable air conditioning,Luggage dropoff allowed,Microwave,Exterior security cameras on property,Carbon monoxide alarm,Superhost,guest_favorite,Free street parking,Elevator,Long term stays allowed,Smoke alarm,Guest favorite,Washer,Air conditioning,Haceb refrigerator,Fast wifi – 94 Mbps,Hair dryer,Free parking on premises,Backyard,Crib,Refrigerator,Private patio or balcony,City skyline view,Fast wifi – 599 Mbps,Smoking allowed,Hot tub,Paid washer – In building,Paid dryer – In building,Dryer,Mountain view,Free washer – In unit,TV with standard cable,LG refrigerator,32 inch HDTV with Netflix,AC - split type ductless system,Garden view,Free carport on premises,56 inch HDTV with standard cable,Central air conditioning,Shared patio or balcony,Fast wifi – 240 Mbps,Shared indoor pool - available seasonally,open specific hours,Courtyard view,Wifi – 28 Mbps,32 inch HDTV,High chair,Fast wifi – 164 Mbps,Shared outdoor pool - available all year,open specific hours,rooftop,43 inch HDTV with Netflix,premium cable,HDTV,Free parking garage on premises – 1 space,40 inch HDTV,Fast wifi – 200 Mbps,HDTV with standard cable,Free dryer – In unit,Park view,Fast wifi – 510 Mbps,Free washer – In building,Fast wifi – 235 Mbps,55 inch HDTV,Fast wifi – 463 Mbps,43 inch HDTV with HBO Max,Netflix,standard cable,Private backyard – Fully fenced,Patio or balcony,Free driveway parking on premises – 3 spaces,HDTV with Netflix,Shared hot tub,Fast wifi – 185 Mbps,55 inch HDTV with Netflix,43 inch HDTV,Shared sauna,Fast wifi – 60 Mbps,32 inch TV,Shared backyard – Not fully fenced,Fast wifi – 231 Mbps,Free dryer – In building,42 inch HDTV with Netflix,50 inch HDTV with Netflix,standard cable,Private hot tub - available all year,open 24 hours,43 inch HDTV with Amazon Prime Video,Netflix,standard cable,Fast wifi – 140 Mbps,TV with Netflix,standard cable,Wifi – 35 Mbps,58 inch HDTV with Netflix,standard cable,Window AC unit,45 inch HDTV with Netflix,Amazon Prime Video,Chromecast,55 inch TV with Netflix,standard cable,Wifi – 31 Mbps,32 inch HDTV with premium cable,Shared outdoor pool - available all year,open specific hours,lap pool,Private hot tub,55 inch HDTV with Chromecast,Disney+,Netflix,Fast wifi – 466 Mbps,Free residential garage on premises,Private backyard,Fast wifi – 105 Mbps,43 inch HDTV with Netflix,43 inch HDTV with Amazon Prime Video,Disney+,Netflix,Fast wifi – 187 Mbps,35 inch HDTV with premium cable,47 inch TV with standard cable,Free dryer,32 inch HDTV with Fire TV,standard cable,Bathtub,Shared hot tub - available all year,open specific hours,43 inch HDTV with Netflix,standard cable,Fast wifi – 249 Mbps,Free carport on premises – 2 spaces,Shared outdoor pool - available all year,open specific hours,25 inch TV,TV with Netflix,Fast wifi – 59 Mbps,HDTV with Amazon Prime Video,Disney+,Netflix,Free driveway parking on premises,HDTV with Chromecast,40 inch HDTV with Amazon Prime Video,Chromecast,Netflix,43 inch HDTV with standard cable,Amazon Prime Video,Disney+,Netflix,HBO Max,43 inch HDTV with standard cable,Pack ’n play/Travel crib,60 inch HDTV with Netflix,Fast wifi – 379 Mbps,Washer – In building,Free driveway parking on premises – 2 spaces,Fast wifi – 52 Mbps,40 inch HDTV with Fire TV,Roku,Fast wifi – 206 Mbps,Paid parking on premises,43 inch HDTV with Netflix,premium cable,standard cable,Fast wifi – 131 Mbps,40 inch TV with standard cable,Netflix,DVD player,Paid washer,Paid dryer,Mabe refrigerator,Fast wifi – 263 Mbps,32 inch HDTV with standard cable,Fast wifi – 217 Mbps,50 inch TV,60 inch HDTV with standard cable,Standalone high chair - always at the listing,43 inch TV,Fast wifi – 93 Mbps,Pool - open 24 hours,rooftop,Fast wifi – 205 Mbps,Challenger refrigerator,Paid parking lot on premises – 1 space,Fast wifi – 475 Mbps,Dryer – In unit,Free residential garage on premises – 1 space,43 inch TV with Netflix,49 inch TV with Netflix,Pool,Paid parking lot off premises,Sound system
,25,2130,1040,0,1090,0,0,0,0,0,720197626919396793,,,,Apartment in Laureles,01/18/25 - 01/21/25,94,22,11,4.88,4.88 (97),12,https://www.airbnb.com/rooms/720197626919396793?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,26,3,130,1.382978723,16,0,16,0.170212766,,TRUE,TRUE,TRUE,,,,TRUE,,,,,TRUE,TRUE,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,26,2130,1085,0,1045,0,0,0,0,0,22937432,,,,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,79,13,2,4.79,4.79 (127),21,https://www.airbnb.com/rooms/22937432?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,16,3,48,0.6075949367,20,11,31,0.3924050633,,TRUE,TRUE,,TRUE,,,TRUE,TRUE,,FALSE,,TRUE,TRUE,,TRUE,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,27,2120,1145,0,975,0,0,0,0,0,950129773166649277,,,,Loft in Laureles-Estadio,01/18/25 - 01/21/25,60,1,4,4.63,4.63 (40),35,https://www.airbnb.com/rooms/950129773166649277?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,19,3,58,0.9666666667,2,0,2,0.03333333333,1 double bed,,TRUE,,TRUE,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28,2115,1040,0,1075,0,0,0,0,0,914736772426400775,,,,Apartment in Medellín,01/18/25 - 01/21/25,94,22,9,4.85,4.85 (41),15,https://www.airbnb.com/rooms/914736772426400775?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,24,3,72,0.7659574468,9,13,22,0.2340425532,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,TRUE,FALSE,,TRUE,,,,FALSE,TRUE,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,29,2115,1100,0,1015,0,0,0,0,0,832066808120820446,,,,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,76,10,5,4.73,4.73 (70),27,https://www.airbnb.com/rooms/832066808120820446?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,20,3,59,0.7763157895,6,11,17,0.2236842105,,TRUE,,TRUE,,TRUE,,,,,,TRUE,,TRUE,,TRUE,,,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30,2115,1125,0,990,0,0,0,0,0,1036302349779288186,,,,Apartment in Medellín,01/18/25 - 01/21/25,67,5,4,4.67,4.67 (9),32,https://www.airbnb.com/rooms/1036302349779288186?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,19,3,58,0.8656716418,9,0,9,0.1343283582,,,TRUE,,,TRUE,,,,,FALSE,,,,,,FALSE,,TRUE,TRUE,,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,31,2115,1130,0,985,0,0,0,0,0,36039348,,,,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,66,4,5,4.65,4.65 (125),33,https://www.airbnb.com/rooms/36039348?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,20,3,59,0.8939393939,7,0,7,0.1060606061,1 double bed,,TRUE,,,,,TRUE,,TRUE,,,,TRUE,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,32,2100,955,0,1145,0,0,0,0,0,1216731553402808272,Yes,,,Apartment in Belén,01/18/25 - 01/21/25,114,39,19,5,5.0 (13),1,https://www.airbnb.com/rooms/1216731553402808272?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,34,3,103,0.9035087719,11,0,11,0.09649122807,,TRUE,TRUE,TRUE,,TRUE,,TRUE,,TRUE,,,TRUE,TRUE,TRUE,,,TRUE,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,33,2100,1075,0,1025,0,0,0,0,0,1113285042747995398,,,,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,82,15,3,4.75,4.75 (8),25,https://www.airbnb.com/rooms/1113285042747995398?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,18,3,54,0.6585365854,18,10,28,0.3414634146,,TRUE,TRUE,TRUE,,TRUE,,,,TRUE,FALSE,,,,,,FALSE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,34,2100,1135,0,965,0,0,0,0,0,27483325,,,,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,65,3,2,4.61,4.61 (104),37,https://www.airbnb.com/rooms/27483325?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,16,3,47,0.7230769231,9,9,18,0.2769230769,,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,,FALSE,,,,,,FALSE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35,2085,980,0,1105,0,0,0,0,0,945955410976754834,,,,Loft in Laureles-Estadio,01/18/25 - 01/21/25,109,34,18,4.91,4.91 (22),9,https://www.airbnb.com/rooms/945955410976754834?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,33,3,98,0.8990825688,11,0,11,0.1009174312,,TRUE,TRUE,TRUE,,TRUE,,,,TRUE,FALSE,,TRUE,,,TRUE,FALSE,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,36,2085,1035,0,1050,0,0,0,0,0,20000092,,,,Apartment in Medellín,01/18/25 - 01/21/25,95,23,6,4.8,4.8 (187),20,https://www.airbnb.com/rooms/20000092?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,21,3,62,0.6526315789,20,13,33,0.3473684211,,TRUE,TRUE,TRUE,TRUE,,,TRUE,,,FALSE,TRUE,,TRUE,,,FALSE,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,37,2080,935,0,1145,0,0,0,0,0,847881844542646160,,,,Apartment in Medellín,01/18/25 - 01/21/25,118,43,19,5,5.0 (69),1,https://www.airbnb.com/rooms/847881844542646160?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,34,3,101,0.8559322034,0,17,17,0.1440677966,3 beds,TRUE,TRUE,TRUE,,TRUE,,,,TRUE,FALSE,,TRUE,,,,FALSE,TRUE,TRUE,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,38,2080,1055,0,1025,0,0,0,0,0,33433083,,,,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,87,19,8,4.75,4.75 (129),25,https://www.airbnb.com/rooms/33433083?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,23,3,68,0.7816091954,7,12,19,0.2183908046,,TRUE,TRUE,,,TRUE,,,,TRUE,FALSE,,TRUE,TRUE,,,FALSE,TRUE,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,39,2070,925,0,1145,0,0,0,0,0,1234150559692111184,Yes,,,Apartment in Laureles,01/18/25 - 01/21/25,120,45,19,5,5.0 (8),1,https://www.airbnb.com/rooms/1234150559692111184?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,34,3,103,0.8583333333,0,17,17,0.1416666667,,TRUE,,TRUE,TRUE,TRUE,,,TRUE,,FALSE,,TRUE,,,,,TRUE,TRUE,,,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40,2070,925,0,1145,0,0,0,0,0,1309006070100973167,,,,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,120,45,15,5,5.0 (4),1,https://www.airbnb.com/rooms/1309006070100973167?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,30,3,90,0.75,13,17,30,0.25,2 beds,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,,,,,,FALSE,,TRUE,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41,2070,990,0,1080,0,0,0,0,0,685391874315688463,,,,Loft in Laureles,01/18/25 - 01/21/25,107,32,17,4.86,4.86 (22),14,https://www.airbnb.com/rooms/685391874315688463?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,32,3,97,0.9065420561,10,0,10,0.09345794393,1 bed,TRUE,TRUE,TRUE,,,,TRUE,,TRUE,FALSE,,TRUE,TRUE,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42,2070,1020,0,1050,0,0,0,0,0,1116079815784910314,,,,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,99,26,8,4.8,4.8 (5),20,https://www.airbnb.com/rooms/1116079815784910314?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,23,3,69,0.696969697,16,14,30,0.303030303,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,,,TRUE,,,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43,2065,920,0,1145,0,0,0,0,0,1266153016647618674,,,,Apartment in Belén,01/18/25 - 01/21/25,121,46,20,5,5.0 (8),1,https://www.airbnb.com/rooms/1266153016647618674?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,35,3,104,0.8595041322,0,17,17,0.1404958678,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,TRUE,FALSE,,TRUE,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,44,2060,955,0,1105,0,0,0,0,0,730525227743248838,,,,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,114,39,12,4.91,4.91 (55),9,https://www.airbnb.com/rooms/730525227743248838?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,27,3,80,0.701754386,18,16,34,0.298245614,1 bed,TRUE,,TRUE,TRUE,,,,,,FALSE,,TRUE,TRUE,,,FALSE,TRUE,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45,2060,970,0,1090,0,0,0,0,0,852892964089997080,,,,Apartment in Laureles,01/18/25 - 01/21/25,111,36,11,4.88,4.88 (41),12,https://www.airbnb.com/rooms/852892964089997080?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,26,3,79,0.7117117117,16,16,32,0.2882882883,,TRUE,TRUE,TRUE,,,,TRUE,,,FALSE,,TRUE,TRUE,,,FALSE,TRUE,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,46,2060,975,0,1085,0,0,0,0,0,660271633199436950,,,,Loft in Medellín,01/18/25 - 01/21/25,110,35,14,4.87,4.87 (68),13,https://www.airbnb.com/rooms/660271633199436950?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,29,3,87,0.7909090909,9,14,23,0.2090909091,,TRUE,,TRUE,,,,,TRUE,TRUE,FALSE,TRUE,,TRUE,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,47,2055,930,0,1125,0,0,0,0,0,1109735560679449413,,,,Loft in Laureles-Estadio,01/18/25 - 01/21/25,119,44,25,4.95,4.95 (56),5,https://www.airbnb.com/rooms/1109735560679449413?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,40,3,119,1,0,0,0,0,,TRUE,TRUE,TRUE,,TRUE,,,,TRUE,,,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,48,2055,970,0,1085,0,0,0,0,0,615263216683244123,,,,Vacation home in Medellín,01/18/25 - 01/21/25,111,36,14,4.87,4.87 (82),13,https://www.airbnb.com/rooms/615263216683244123?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,29,3,86,0.7747747748,9,16,25,0.2252252252,2 beds,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,FALSE,,TRUE,,,,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,49,2055,985,0,1070,0,0,0,0,0,929235228128531473,,,,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,108,33,16,4.84,4.84 (63),16,https://www.airbnb.com/rooms/929235228128531473?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,31,3,92,0.8518518519,16,0,16,0.1481481481,3 beds,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,,TRUE,TRUE,,,FALSE,TRUE,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,50,2055,1025,0,1030,0,0,0,0,0,1052153928035014825,,,,Apartment in Medellín,01/18/25 - 01/21/25,98,25,13,4.76,4.76 (37),24,https://www.airbnb.com/rooms/1052153928035014825?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,28,3,84,0.8571428571,14,0,14,0.1428571429,,TRUE,TRUE,TRUE,,TRUE,,TRUE,TRUE,,FALSE,TRUE,,TRUE,,,FALSE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,51,2055,1060,0,995,0,0,0,0,0,37426179,,,,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,86,18,11,4.68,4.68 (80),31,https://www.airbnb.com/rooms/37426179?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,26,3,79,0.9186046512,7,0,7,0.08139534884,1 bed,TRUE,TRUE,,,,,TRUE,TRUE,TRUE,,,,TRUE,,TRUE,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52,2050,990,0,1060,0,0,0,0,0,967547690470590374,,,,Apartment in Laureles-Estadio,01/18/25 - 01/21/25,107,32,13,4.82,4.82 (77),18,https://www.airbnb.com/rooms/967547690470590374?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,28,3,85,0.7943925234,7,15,22,0.2056074766,,TRUE,TRUE,TRUE,,,,,,TRUE,FALSE,,TRUE,TRUE,TRUE,,FALSE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53,2050,1000,0,1050,0,0,0,0,0,946520540439801755,,,,Loft in Laureles-Estadio,01/18/25 - 01/21/25,105,30,11,4.8,4.8 (51),20,https://www.airbnb.com/rooms/946520540439801755?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,26,3,79,0.7523809524,11,15,26,0.2476190476,,,TRUE,TRUE,,TRUE,,,,,FALSE,,TRUE,,,,FALSE,TRUE,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
