rank,totalRankScore,totalPriceRankScore,nightlyRateScore,reviewRankScore,rareFindScore,acScore,wifiScore,guestFavoriteScore,superhostScore,id,title,dates,totalPrice,totalPriceRank,nightlyRateRank,reviewScore,reviewScoreString,reviewScoreRank,url,nightlyRateDisplay,nights,nightlyTotalDisplay,nightlyTotalDisplayPercent,cleaningFee,airbnbFee,feeTotal,feePercent,beds,guest_favorite,Kitchen,Wifi,Dedicated workspace,Free parking on premises,Pets allowed,TV,Washer,Backyard,Carbon monoxide alarm,Smoke alarm,Guest favorite,Superhost,Air conditioning,Exterior security cameras on property,Hair dryer,Refrigerator,Microwave,TV with standard cable,Luggage dropoff allowed,Elevator,Paid dryer – In building,Fast wifi – 321 Mbps,40 inch HDTV,Free washer – In unit,Private patio or balcony,Samsung refrigerator,Long term stays allowed,Dryer,City skyline view,Fast wifi – 330 Mbps,72 inch HDTV with premium cable,Paid washer – In building,HDTV with Netflix,Free dryer – In unit,Garden view,Fast wifi – 151 Mbps,50 inch HDTV,Central air conditioning,Free parking garage on premises – 1 space,Fast wifi – 200 Mbps,HDTV with standard cable,Mountain view,Hot tub,55 inch HDTV with Netflix,Free street parking,Private hot tub,43 inch HDTV with Apple TV,Disney+,Netflix,HBO Max,Free washer – In building,Free dryer – In building,Courtyard view,Fast wifi – 342 Mbps,Free driveway parking on premises – 2 spaces,Paid washer,50 inch HDTV with Disney+,Netflix,Shared patio or balcony,Smoking allowed,43 inch HDTV,AC - split type ductless system,Shared sauna,55 inch HDTV,Fast wifi – 60 Mbps,Fast wifi – 306 Mbps,Free driveway parking on premises – 1 space,Free residential garage on premises,40 inch HDTV with Chromecast,standard cable,Shared outdoor pool - available all year,open specific hours,rooftop,50 inch HDTV with Netflix,standard cable,Shared backyard – Not fully fenced,TV with Netflix,Shared outdoor pool - available all year,open specific hours,lap pool,55 inch HDTV with Chromecast,Disney+,Netflix,Fast wifi – 293 Mbps,Fast wifi – 503 Mbps,Patio or balcony,42 inch HDTV with premium cable,Bathtub,Shared hot tub - available all year,open specific hours,43 inch HDTV with standard cable,Netflix,Private hot tub - available all year,open 24 hours,43 inch HDTV with Netflix,standard cable,Free driveway parking on premises – 6 spaces,55 inch HDTV with Amazon Prime Video,Apple TV,Chromecast,Disney+,Netflix,Canal view,Free carport on premises,43 inch HDTV with Netflix,Fast wifi – 249 Mbps,Free carport on premises – 2 spaces,Shared outdoor pool - available all year,open specific hours,82 inch HDTV with Amazon Prime Video,Fire TV,Hulu,Netflix,DVD player,HDTV with Amazon Prime Video,Disney+,Netflix,High chair,65 inch HDTV with Netflix,premium cable,Fast wifi – 264 Mbps,43 inch HDTV with standard cable,Amazon Prime Video,Disney+,Netflix,HBO Max,MABE refrigerator,Fast wifi – 252 Mbps,Free residential garage on premises – 1 space,Washer – In building,Private hot tub - available all year,43 inch HDTV with Netflix,standard cable,Disney+,HBO Max,Amazon Prime Video,Fast wifi – 165 Mbps,Fast wifi – 274 Mbps,43 inch HDTV with Netflix,premium cable,standard cable,Fast wifi – 246 Mbps,50 inch HDTV with Fire TV,Netflix,43 inch HDTV with Amazon Prime Video,Disney+,HBO Max,Netflix,standard cable,Free parking garage on premises,Shared outdoor pool,Shared hot tub,43 inch HDTV with standard cable,premium cable,Netflix,Pool,43 inch HDTV with Netflix,standard cable,premium cable,Fast wifi – 205 Mbps,Challenger refrigerator,Shared pool,Valley view,43 inch TV with Netflix,Fast wifi – 383 Mbps,42 inch HDTV with Netflix,standard cable,Dryer – In unit,LG refrigerator,Window AC unit,Paid parking garage off premises,Crib,Paid parking lot off premises
29,1340,615,0,725,0,0,0,0,0,1031741220812433488,Apartment in Medellín,01/18/25 - 01/21/25,136,30,13,4.92,4.92 (12),8,https://www.airbnb.com/rooms/1031741220812433488?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,34,3,102,0.75,17,17,34,0.25,,TRUE,TRUE,,TRUE,,,TRUE,,,,,TRUE,,,TRUE,,,,,,TRUE,TRUE,,,,TRUE,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1340,685,0,655,0,0,0,0,0,34362282,Loft in Medellín,01/18/25 - 01/21/25,115,16,8,4.78,4.78 (121),22,https://www.airbnb.com/rooms/34362282?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,27,3,81,0.7043478261,18,16,34,0.2956521739,2 beds,,TRUE,TRUE,,,,,TRUE,,,,,,,,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1330,610,0,720,0,0,0,0,0,937765521016620268,Loft in Medellín,01/18/25 - 01/21/25,137,31,21,4.91,4.91 (23),9,https://www.airbnb.com/rooms/937765521016620268?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,42,3,139,1.01459854,12,0,12,0.08759124088,,,TRUE,TRUE,TRUE,,,,,,FALSE,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1330,615,0,715,0,0,0,0,0,1148562372019029958,Loft in Medellín,01/18/25 - 01/21/25,136,30,24,4.9,4.9 (42),10,https://www.airbnb.com/rooms/1148562372019029958?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,45,3,136,1,0,0,0,0,,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,,,,TRUE,,TRUE,TRUE,,,,,,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1320,610,0,710,0,0,0,0,0,795969763361162075,Apartment in Medellín,01/18/25 - 01/21/25,137,31,14,4.89,4.89 (114),11,https://www.airbnb.com/rooms/795969763361162075?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,35,3,105,0.7664233577,15,17,32,0.2335766423,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,TRUE,,,,,,,,TRUE,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1320,645,0,675,0,0,0,0,0,1131913007910052427,Loft in Medellín,01/18/25 - 01/21/25,130,24,22,4.82,4.82 (50),18,https://www.airbnb.com/rooms/1131913007910052427?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,43,3,130,1,0,0,0,0,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1315,620,0,695,0,0,0,0,0,42568186,Apartment in Medellín,01/18/25 - 01/21/25,135,29,18,4.86,4.86 (162),14,https://www.airbnb.com/rooms/42568186?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,39,3,118,0.8740740741,0,17,17,0.1259259259,,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,FALSE,FALSE,TRUE,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1315,680,0,635,0,0,0,0,0,50651999,Loft in Medellín,01/18/25 - 01/21/25,116,17,10,4.74,4.74 (136),26,https://www.airbnb.com/rooms/50651999?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,29,3,87,0.75,15,14,29,0.25,,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,,FALSE,FALSE,,TRUE,,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1310,610,0,700,0,0,0,0,0,1152135982079745771,Loft in El Poblado,01/18/25 - 01/21/25,137,31,25,4.87,4.87 (55),13,https://www.airbnb.com/rooms/1152135982079745771?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,46,3,137,1,0,0,0,0,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1295,575,0,720,0,0,0,0,0,1126228362113426388,Loft in El Poblado,01/18/25 - 01/21/25,147,38,16,4.91,4.91 (23),9,https://www.airbnb.com/rooms/1126228362113426388?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,37,3,110,0.7482993197,16,21,37,0.2517006803,2 beds,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,FALSE,FALSE,TRUE,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1290,530,0,760,0,0,0,0,0,1215240162994784824,Apartment in Medellín,01/18/25 - 01/21/25,156,47,19,5,5.0 (11),1,https://www.airbnb.com/rooms/1215240162994784824?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,40,3,119,0.7628205128,15,22,37,0.2371794872,1 bed,TRUE,TRUE,TRUE,TRUE,,,,TRUE,,FALSE,FALSE,TRUE,,TRUE,,,TRUE,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1290,580,0,710,0,0,0,0,0,1206719477763321675,Apartment in El Poblado,01/18/25 - 01/21/25,146,37,23,4.89,4.89 (9),11,https://www.airbnb.com/rooms/1206719477763321675?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,44,3,131,0.897260274,15,0,15,0.102739726,,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,FALSE,,TRUE,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1290,585,0,705,0,0,0,0,0,1152868296378945622,Loft in Medellín,01/18/25 - 01/21/25,145,36,27,4.88,4.88 (41),12,https://www.airbnb.com/rooms/1152868296378945622?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,48,3,145,1,0,0,0,0,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,TRUE,,,TRUE,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1290,595,0,695,0,0,0,0,0,677065997439756879,Loft in Belén,01/18/25 - 01/21/25,143,34,14,4.86,4.86 (117),14,https://www.airbnb.com/rooms/677065997439756879?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,35,3,105,0.7342657343,20,18,38,0.2657342657,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,TRUE,,,,,,,,TRUE,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1285,695,0,590,0,0,0,0,0,51755364,Apartment in Medellín,01/18/25 - 01/21/25,112,14,12,4.63,4.63 (177),35,https://www.airbnb.com/rooms/51755364?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,33,3,100,0.8928571429,12,0,12,0.1071428571,2 beds,,TRUE,TRUE,TRUE,,,,,,,,,,,,TRUE,,,,,TRUE,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1280,630,0,650,0,0,0,0,0,1181139724598304502,Apartment in Medellín,01/18/25 - 01/21/25,133,27,17,4.77,4.77 (35),23,https://www.airbnb.com/rooms/1181139724598304502?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,38,3,114,0.8571428571,0,19,19,0.1428571429,,,TRUE,TRUE,TRUE,,,,,,FALSE,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1275,620,0,655,0,0,0,0,0,1162973761076096858,Loft in Medellín,01/18/25 - 01/21/25,135,29,24,4.78,4.78 (49),22,https://www.airbnb.com/rooms/1162973761076096858?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,45,3,135,1,0,0,0,0,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,FALSE,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1265,570,0,695,0,0,0,0,0,1151410939484593475,Loft in Medellín,01/18/25 - 01/21/25,148,39,16,4.86,4.86 (36),14,https://www.airbnb.com/rooms/1151410939484593475?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,37,3,110,0.7432432432,17,21,38,0.2567567568,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,,FALSE,FALSE,TRUE,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1260,550,0,710,0,0,0,0,0,1279149658816091267,Loft in Laureles-Estadio,01/18/25 - 01/21/25,152,43,30,4.89,4.89 (18),11,https://www.airbnb.com/rooms/1279149658816091267?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,51,3,152,1,0,0,0,0,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,FALSE,FALSE,TRUE,,,,,,,,,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1255,510,0,745,0,0,0,0,0,10450836,Apartment in El Poblado,01/18/25 - 01/21/25,163,51,20,4.96,4.96 (25),4,https://www.airbnb.com/rooms/10450836?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,41,3,123,0.754601227,20,20,40,0.245398773,,TRUE,TRUE,TRUE,,,TRUE,,,,FALSE,FALSE,TRUE,,,TRUE,,,,,,TRUE,,,TRUE,,,,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1255,565,0,690,0,0,0,0,0,53710799,Loft in Medellín,01/18/25 - 01/21/25,149,40,29,4.85,4.85 (211),15,https://www.airbnb.com/rooms/53710799?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,50,3,149,1,0,0,0,0,,,TRUE,,TRUE,TRUE,TRUE,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1255,625,0,630,0,0,0,0,0,26843095,Apartment in Medellín,01/18/25 - 01/21/25,134,28,18,4.73,4.73 (90),27,https://www.airbnb.com/rooms/26843095?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,39,3,118,0.8805970149,16,0,16,0.1194029851,1 queen bed,,TRUE,TRUE,,TRUE,,,,,FALSE,,,,,,,,,,,TRUE,,,,TRUE,TRUE,,,,,,,,,TRUE,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1255,685,0,570,0,0,0,0,0,847968075139956736,Apartment in Medellín,01/18/25 - 01/21/25,115,16,12,4.49,4.49 (82),39,https://www.airbnb.com/rooms/847968075139956736?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,33,3,99,0.8608695652,0,16,16,0.1391304348,1 bed,,TRUE,TRUE,,,TRUE,TRUE,,,FALSE,FALSE,,,,TRUE,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1250,540,0,710,0,0,0,0,0,881991694064575844,Apartment in Medellín,01/18/25 - 01/21/25,154,45,19,4.89,4.89 (65),11,https://www.airbnb.com/rooms/881991694064575844?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,40,3,120,0.7792207792,15,19,34,0.2207792208,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,TRUE,,TRUE,,,,,,,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1250,600,0,650,0,0,0,0,0,1130562114818253589,Loft in Medellín,01/18/25 - 01/21/25,142,33,26,4.77,4.77 (61),23,https://www.airbnb.com/rooms/1130562114818253589?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,47,3,142,1,0,0,0,0,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,1250,635,0,615,0,0,0,0,0,29883041,Apartment in Medellín,01/18/25 - 01/21/25,132,26,18,4.7,4.7 (91),30,https://www.airbnb.com/rooms/29883041?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,39,3,118,0.8939393939,14,0,14,0.1060606061,2 beds,,TRUE,TRUE,TRUE,,,,,,FALSE,,,,,,TRUE,,,,TRUE,TRUE,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1245,485,0,760,0,0,0,0,0,1263769456381535784,Apartment in El Poblado,01/18/25 - 01/21/25,169,56,29,5,5.0 (12),1,https://www.airbnb.com/rooms/1263769456381535784?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,50,3,165,0.9763313609,0,21,21,0.124260355,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,,TRUE,,TRUE,TRUE,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1240,510,0,730,0,0,0,0,0,716014686002708737,Apartment in Medellín,01/18/25 - 01/21/25,163,51,20,4.93,4.93 (120),7,https://www.airbnb.com/rooms/716014686002708737?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,41,3,123,0.754601227,20,20,40,0.245398773,1 queen bed,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1240,625,0,615,0,0,0,0,0,961029248039766332,Apartment in El Poblado,01/18/25 - 01/21/25,134,28,18,4.7,4.7 (33),30,https://www.airbnb.com/rooms/961029248039766332?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,39,3,116,0.8656716418,18,0,18,0.1343283582,1 double bed,,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,,,TRUE,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1240,655,0,585,0,0,0,0,0,1095844335102466036,Apartment in Medellín,01/18/25 - 01/21/25,126,22,16,4.59,4.59 (22),36,https://www.airbnb.com/rooms/1095844335102466036?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,37,3,110,0.873015873,16,0,16,0.126984127,,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,,FALSE,FALSE,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,1235,525,0,710,0,0,0,0,0,901514694971511175,Apartment in Medellín,01/18/25 - 01/21/25,157,48,24,4.89,4.89 (62),11,https://www.airbnb.com/rooms/901514694971511175?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,45,3,135,0.8598726115,22,0,22,0.1401273885,1 double bed,TRUE,TRUE,,TRUE,,TRUE,TRUE,TRUE,,FALSE,FALSE,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1230,530,0,700,0,0,0,0,0,1015546716987276144,Apartment in El Poblado,01/18/25 - 01/21/25,156,47,31,4.87,4.87 (61),13,https://www.airbnb.com/rooms/1015546716987276144?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,52,3,156,1,0,0,0,0,,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1230,540,0,690,0,0,0,0,0,673036544778382250,Loft in El Poblado,01/18/25 - 01/21/25,154,45,18,4.85,4.85 (52),15,https://www.airbnb.com/rooms/673036544778382250?check_in=2025-01-19&guests=1&adults=1&check_out=2025-01-22,39,3,118,0.7662337662,14,22,36,0.2337662338,2 beds,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,FALSE,FALSE,,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
