,rank,totalRankScore,totalPriceRankScore,nightlyRateScore,reviewRankScore,rareFindScore,acScore,wifiScore,guestFavoriteScore,superhostScore,id,LikeIt,MessageSent,Responded,title,dates,totalPrice,totalPriceRank,nightlyRateRank,reviewScore,reviewScoreString,reviewScoreRank,url,nightlyRateDisplay,nights,nightlyTotalDisplay,nightlyTotalDisplayPercent,cleaningFee,airbnbFee,feeTotal,feePercent,beds,Guest favorite,guest_favorite,Kitchen,Fast wifi – 67 Mbps,TV,Washer,Luggage dropoff allowed,Hair dryer,Microwave,Long term stays allowed,Carbon monoxide alarm,Smoke alarm,Garden view,Park view,Wifi,Dedicated workspace,Free parking on premises,Pets allowed,Exterior security cameras on property,Air conditioning,Superhost,Elevator,TV with standard cable,Refrigerator,Fast wifi – 321 Mbps,40 inch HDTV,Free washer – In unit,Private patio or balcony,Samsung refrigerator,Shared outdoor pool - available all year,open specific hours,heated,Mountain view,City skyline view,Valley view,Wifi – 33 Mbps,Free parking garage on premises – 1 space,Shared hot tub - available all year,open specific hours,Shared sauna,55 inch HDTV with Netflix,Free carport on premises,31 inch HDTV with Netflix,HDTV with Netflix,Free dryer – In unit,Paid washer – In building,Fast wifi – 280 Mbps,Private backyard – Not fully fenced,Free washer – In building,Patio or balcony,Courtyard view,55 inch HDTV with Netflix,standard cable,HDTV with standard cable,Shared pool,Fast wifi – 178 Mbps,Free carport on premises – 2 spaces,55 inch HDTV with Amazon Prime Video,HBO Max,Netflix,premium cable,Shared backyard – Not fully fenced,TV with Netflix,Free street parking,Dryer,Shared outdoor pool - available all year,open specific hours,lap pool,Private hot tub,55 inch HDTV with Chromecast,Disney+,Netflix,Fast wifi – 348 Mbps,55 inch HDTV,Paid street parking off premises,Pack ’n play/Travel crib - available upon request,HDTV with premium cable,Netflix,Central air conditioning,Fast wifi – 410 Mbps,Fast wifi – 249 Mbps,Shared outdoor pool - available all year,open specific hours,43 inch HDTV,Paid dryer – In building,55 inch HDTV with Amazon Prime Video,Disney+,HBO Max,Netflix,premium cable,standard cable,Children’s books and toys,Fast wifi – 264 Mbps,Hot tub,32 inch HDTV with premium cable,Fast wifi – 327 Mbps,40 inch HDTV with Amazon Prime Video,Netflix,premium cable,standard cable,Disney+,AC - split type ductless system,MABE refrigerator,Fast wifi – 252 Mbps,Free residential garage on premises – 1 space,Dryer – In unit,Portable air conditioning,Backyard,Smoking allowed,Fast wifi – 193 Mbps,Fast wifi – 83 Mbps,Shared outdoor pool,Shared hot tub,43 inch HDTV with standard cable,premium cable,Netflix,Fast wifi – 344 Mbps,Haceb refrigerator,32 inch HDTV,Pool,Private hot tub - available all year,open 24 hours,43 inch HDTV with Netflix,standard cable,Free dryer – In building,50 inch HDTV,HACEB refrigerator
,36,1010,495,0,515,0,0,0,0,0,34362282,,,,Loft in Medellín,01/18/25 - 01/21/25,115,24,13,4.78,4.78 (121),20,https://www.airbnb.com/rooms/34362282?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,27,3,81,0.7043478261,18,16,34,0.2956521739,2 beds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,37,1005,400,0,605,0,0,0,0,0,550621658051584470,,,,Cabin in Envigado,01/18/25 - 01/21/25,148,43,32,4.98,4.98 (40),2,https://www.airbnb.com/rooms/550621658051584470?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,46,3,137,0.9256756757,11,0,11,0.07432432432,2 beds,TRUE,TRUE,TRUE,,,,,,,,FALSE,FALSE,,,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,,,TRUE,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,38,1005,445,0,560,0,0,0,0,0,1295128210295527123,,,,Apartment in Envigado,01/18/25 - 01/21/25,135,34,25,4.88,4.88 (8),11,https://www.airbnb.com/rooms/1295128210295527123?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,39,3,116,0.8592592593,0,19,19,0.1407407407,,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,39,995,385,0,610,0,0,0,0,0,1262479598866522804,,,,Apartment in Medellín,01/18/25 - 01/21/25,154,46,26,5,5.0 (6),1,https://www.airbnb.com/rooms/1262479598866522804?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,40,3,121,0.7857142857,11,22,33,0.2142857143,,TRUE,TRUE,TRUE,,TRUE,,,,,,FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40,995,535,0,460,0,0,0,0,0,688478786876825803,,,,Apartment in Envigado,01/18/25 - 01/21/25,97,16,18,4.65,4.65 (139),31,https://www.airbnb.com/rooms/688478786876825803?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,32,3,161,1.659793814,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41,990,380,0,610,0,0,0,0,0,1100684995371477917,,,,Apartment in Envigado,01/18/25 - 01/21/25,155,47,25,5,5.0 (24),1,https://www.airbnb.com/rooms/1100684995371477917?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,39,3,117,0.7548387097,16,22,38,0.2451612903,2 beds,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42,990,435,0,555,0,0,0,0,0,1152135982079745771,,,,Loft in Medellín,01/18/25 - 01/21/25,137,36,32,4.87,4.87 (55),12,https://www.airbnb.com/rooms/1152135982079745771?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,46,3,137,1,0,0,0,0,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43,990,455,0,535,0,0,0,0,0,1275412944762181270,,,,Apartment in Envigado,01/18/25 - 01/21/25,131,32,23,4.83,4.83 (6),16,https://www.airbnb.com/rooms/1275412944762181270?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,37,3,110,0.8396946565,21,0,21,0.1603053435,,TRUE,TRUE,TRUE,,TRUE,TRUE,,,,,FALSE,FALSE,,,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,44,990,460,0,530,0,0,0,0,0,1131913007910052427,,,,Loft in Medellín,01/18/25 - 01/21/25,130,31,29,4.82,4.82 (50),17,https://www.airbnb.com/rooms/1131913007910052427?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,43,3,130,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45,990,560,0,430,0,0,0,0,0,1277008216990610527,,,,Cabin in San Antonio de Prado,01/18/25 - 01/21/25,91,11,10,,New,37,https://www.airbnb.com/rooms/1277008216990610527?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,24,3,71,0.7802197802,7,13,20,0.2197802198,1 bed,,,TRUE,,TRUE,TRUE,,,,,FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,46,985,375,0,610,0,0,0,0,0,1215240162994784824,,,,Apartment in Medellín,01/18/25 - 01/21/25,156,48,26,5,5.0 (11),1,https://www.airbnb.com/rooms/1215240162994784824?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,40,3,119,0.7628205128,15,22,37,0.2371794872,1 bed,TRUE,TRUE,TRUE,,,TRUE,TRUE,,,,FALSE,FALSE,,,TRUE,TRUE,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,47,985,405,0,580,0,0,0,0,0,1126228362113426388,,,,Loft in Medellín,01/18/25 - 01/21/25,147,42,23,4.92,4.92 (24),7,https://www.airbnb.com/rooms/1126228362113426388?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,37,3,110,0.7482993197,16,21,37,0.2517006803,2 beds,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,48,980,370,0,610,0,0,0,0,0,1076889556347667187,,,,Apartment in Sabaneta,01/18/25 - 01/21/25,158,49,24,5,5.0 (9),1,https://www.airbnb.com/rooms/1076889556347667187?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,38,3,115,0.7278481013,21,22,43,0.2721518987,3 beds,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,49,980,430,0,550,0,0,0,0,0,772250344220386576,,,,Apartment in Envigado,01/18/25 - 01/21/25,138,37,19,4.86,4.86 (22),13,https://www.airbnb.com/rooms/772250344220386576?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,33,3,100,0.7246376812,19,19,38,0.2753623188,,,,TRUE,,,TRUE,TRUE,,,,FALSE,FALSE,,,TRUE,TRUE,,,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,50,975,520,0,455,0,0,0,0,0,32766771,,,,Apartment in Medellín,01/18/25 - 01/21/25,105,19,16,4.6,4.6 (86),32,https://www.airbnb.com/rooms/32766771?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,30,3,90,0.8571428571,15,0,15,0.1428571429,2 beds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,51,975,545,0,430,0,0,0,0,0,1113916045052059695,,,,Apartment in Envigado,01/18/25 - 01/21/25,95,14,12,,,37,https://www.airbnb.com/rooms/1113916045052059695?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,26,3,78,0.8210526316,5,12,17,0.1789473684,,,,TRUE,,,,TRUE,,,,FALSE,FALSE,,,TRUE,TRUE,,,,TRUE,TRUE,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52,970,360,0,610,0,0,0,0,0,1263233888052673027,,,,Apartment in Sabaneta,01/18/25 - 01/21/25,162,51,26,5,5.0 (4),1,https://www.airbnb.com/rooms/1263233888052673027?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,40,3,121,0.7469135802,18,23,41,0.2530864198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53,970,395,0,575,0,0,0,0,0,689809736753746885,,,,Loft in Sabaneta,01/18/25 - 01/21/25,152,44,23,4.91,4.91 (92),8,https://www.airbnb.com/rooms/689809736753746885?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,37,3,111,0.7302631579,22,19,41,0.2697368421,2 beds,TRUE,TRUE,TRUE,,,,,,,,FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,54,965,375,0,590,0,0,0,0,0,48904782,,,,Loft in Sabaneta,01/18/25 - 01/21/25,156,48,25,4.94,4.94 (151),5,https://www.airbnb.com/rooms/48904782?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,39,3,117,0.75,20,19,39,0.25,2 beds,TRUE,TRUE,TRUE,,,,,,,,FALSE,FALSE,,,,TRUE,TRUE,TRUE,,,,,TRUE,,,,,,,,TRUE,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,55,955,410,0,545,0,0,0,0,0,53710799,,,,Loft in Medellín,01/18/25 - 01/21/25,146,41,35,4.85,4.85 (211),14,https://www.airbnb.com/rooms/53710799?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,49,3,146,1,0,0,0,0,,,,TRUE,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,56,955,510,0,445,0,0,0,0,0,1217383999621352705,,,,Apartment in Envigado,01/18/25 - 01/21/25,107,21,18,4.43,4.43 (23),34,https://www.airbnb.com/rooms/1217383999621352705?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,32,3,96,0.8971962617,11,0,11,0.1028037383,1 queen bed,,,TRUE,,TRUE,,,TRUE,,,FALSE,FALSE,,,TRUE,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,57,950,340,0,610,0,0,0,0,0,1263769456381535784,,,,Apartment in Medellín,01/18/25 - 01/21/25,169,55,36,5,5.0 (12),1,https://www.airbnb.com/rooms/1263769456381535784?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,50,3,165,0.9763313609,0,21,21,0.124260355,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,58,950,355,0,595,0,0,0,0,0,10450836,,,,Apartment in Medellín,01/18/25 - 01/21/25,163,52,27,4.96,4.96 (25),4,https://www.airbnb.com/rooms/10450836?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,41,3,123,0.754601227,20,20,40,0.245398773,,TRUE,TRUE,TRUE,,,,,,,,FALSE,FALSE,,,TRUE,,,TRUE,TRUE,,,TRUE,,,,TRUE,,,,,,,,,TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,59,935,465,0,470,0,0,0,0,0,52739464,,,,Apartment in Medellín,01/18/25 - 01/21/25,128,30,23,4.67,4.67 (85),29,https://www.airbnb.com/rooms/52739464?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,37,3,112,0.875,16,0,16,0.125,2 beds,,,TRUE,,TRUE,,,,,,FALSE,FALSE,,,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60,930,350,0,580,0,0,0,0,0,765392179615528772,,,,Condo in Envigado,01/18/25 - 01/21/25,165,53,40,4.92,4.92 (79),7,https://www.airbnb.com/rooms/765392179615528772?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,55,3,236,1.43030303,0,0,0,0,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,61,925,315,0,610,0,0,0,0,0,1141171209844029961,,,,Apartment in Sabaneta,01/18/25 - 01/21/25,175,60,24,5,5.0 (17),1,https://www.airbnb.com/rooms/1141171209844029961?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,38,3,144,0.8228571429,38,22,60,0.3428571429,,TRUE,TRUE,TRUE,,,,,,TRUE,TRUE,,,,,,TRUE,,,,,,TRUE,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62,920,470,0,450,0,0,0,0,0,1095844335102466036,,,,Apartment in Medellín,01/18/25 - 01/21/25,126,29,23,4.59,4.59 (22),33,https://www.airbnb.com/rooms/1095844335102466036?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,37,3,110,0.873015873,16,0,16,0.126984127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,63,915,305,0,610,0,0,0,0,0,1276215525694557976,,,,Apartment in Sabaneta,01/18/25 - 01/21/25,178,62,30,5,5.0 (6),1,https://www.airbnb.com/rooms/1276215525694557976?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,44,3,131,0.7359550562,22,25,47,0.2640449438,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,64,915,415,0,500,0,0,0,0,0,52953594,,,,Apartment in Envigado,01/18/25 - 01/21/25,145,40,21,4.75,4.75 (92),23,https://www.airbnb.com/rooms/52953594?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,35,3,104,0.7172413793,21,20,41,0.2827586207,,,,TRUE,,,,,,,,FALSE,FALSE,,,,TRUE,,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,65,910,300,0,610,0,0,0,0,0,1150266227444057015,,,,Apartment in Sabaneta,01/18/25 - 01/21/25,179,63,30,5,5.0 (10),1,https://www.airbnb.com/rooms/1150266227444057015?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,44,3,132,0.7374301676,25,22,47,0.2625698324,1 bed,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,66,910,345,0,565,0,0,0,0,0,50959813,,,,Apartment in Sabaneta,01/18/25 - 01/21/25,167,54,28,4.89,4.89 (116),10,https://www.airbnb.com/rooms/50959813?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,42,3,126,0.754491018,20,21,41,0.245508982,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,67,895,400,0,495,0,0,0,0,0,1093569738747659124,,,,Apartment in Sabaneta,01/18/25 - 01/21/25,148,43,31,4.74,4.74 (34),24,https://www.airbnb.com/rooms/1093569738747659124?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,45,3,135,0.9121621622,13,0,13,0.08783783784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,68,895,420,0,475,0,0,0,0,0,44324874,,,,Loft in Medellín,01/18/25 - 01/21/25,144,39,34,4.69,4.69 (298),28,https://www.airbnb.com/rooms/44324874?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,48,3,144,1,0,0,0,0,,,,TRUE,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,69,890,300,0,590,0,0,0,0,0,33652158,,,,Tiny home in Medellín,01/18/25 - 01/21/25,179,63,33,4.94,4.94 (271),5,https://www.airbnb.com/rooms/33652158?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,47,3,141,0.7877094972,13,25,38,0.2122905028,,TRUE,TRUE,TRUE,,,,,,,,FALSE,FALSE,,,TRUE,TRUE,TRUE,,,,,,,,,,,TRUE,,,TRUE,,TRUE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,70,890,460,0,430,0,0,0,0,0,1326154599419672551,,,,Apartment in Envigado,01/18/25 - 01/21/25,130,31,22,,New,37,https://www.airbnb.com/rooms/1326154599419672551?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,36,3,134,1.030769231,23,0,23,0.1769230769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,71,885,275,0,610,0,0,0,0,0,1242183564615333941,,,,Apartment in Envigado,01/18/25 - 01/21/25,189,68,37,5,5.0 (31),1,https://www.airbnb.com/rooms/1242183564615333941?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,51,3,154,0.8148148148,12,23,35,0.1851851852,,TRUE,TRUE,TRUE,,TRUE,TRUE,,,,,FALSE,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,72,870,365,0,505,0,0,0,0,0,44676951,,,,Loft in Medellín,01/18/25 - 01/21/25,160,50,39,4.76,4.76 (324),22,https://www.airbnb.com/rooms/44676951?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,53,3,160,1,0,0,0,0,,,,TRUE,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,73,865,265,0,600,0,0,0,0,0,1020436143435914892,,,,Apartment in Sabaneta,01/18/25 - 01/21/25,192,70,34,4.97,4.97 (33),3,https://www.airbnb.com/rooms/1020436143435914892?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,48,3,144,0.75,21,27,48,0.25,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,74,865,310,0,555,0,0,0,0,0,53755520,,,,Loft in Medellín,01/18/25 - 01/21/25,177,61,44,4.87,4.87 (260),12,https://www.airbnb.com/rooms/53755520?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,59,3,177,1,0,0,0,0,,,,TRUE,,,,,,,,,,,,,TRUE,,TRUE,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,75,865,320,0,545,0,0,0,0,0,1162338280209067856,,,,Loft in Medellín,01/18/25 - 01/21/25,174,59,43,4.85,4.85 (39),14,https://www.airbnb.com/rooms/1162338280209067856?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,58,3,174,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,76,865,335,0,530,0,0,0,0,0,53401840,,,,Loft in Medellín,01/18/25 - 01/21/25,171,56,31,4.82,4.82 (108),17,https://www.airbnb.com/rooms/53401840?check_in=2025-01-19&check_out=2025-01-22&guests=1&adults=1,45,3,135,0.7894736842,15,21,36,0.2105263158,,TRUE,TRUE,TRUE,,TRUE,,,,,,,,,,TRUE,TRUE,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
